episode,steps,reward,coins,invalid,self_kill,eps
1,6,-9.796,2,1,1,1.0
2,5,-11.876,1,1,1,1.0
3,28,-12.393,3,13,1,0.999
4,5,-11.531,1,3,1,0.999
5,7,-11.198,2,3,1,0.998
6,7,-12.211,1,2,1,0.998
7,28,-12.712,2,10,1,0.997
8,5,-12.036,1,3,1,0.997
9,5,-11.231,1,1,1,0.996
10,24,-14.756,0,11,1,0.996
11,9,-13.433,0,4,1,0.995
12,7,-13.301,0,4,1,0.995
13,6,-10.508,2,1,1,0.994
14,29,-11.21,4,8,1,0.994
15,21,-12.608,1,5,1,0.993
16,11,-11.038,0,3,1,0.993
17,9,-12.033,1,6,1,0.992
18,20,-12.936,1,11,1,0.992
19,14,-10.566,3,3,1,0.991
20,6,-13.146,0,3,1,0.991
21,5,-11.086,2,3,1,0.991
22,5,-12.921,0,1,1,0.99
23,5,-13.026,0,3,1,0.99
24,30,-13.349,1,9,1,0.989
25,16,-11.756,1,3,1,0.989
26,6,-12.153,1,3,1,0.988
27,13,-13.248,0,7,1,0.988
28,5,-13.036,0,3,1,0.987
29,10,-12.663,1,7,1,0.987
30,20,-5.692,5,5,1,0.986
31,8,-11.413,1,1,1,0.986
32,10,-13.473,0,4,1,0.985
33,9,-13.476,0,5,1,0.985
34,6,-13.081,0,2,1,0.984
35,13,-10.676,3,3,1,0.984
36,11,-11.621,2,4,1,0.983
37,5,-11.531,1,3,1,0.983
38,5,-12.926,0,2,1,0.982
39,17,-12.034,1,8,1,0.982
40,8,-13.168,0,4,1,0.981
41,5,-12.413,0,3,1,0.981
42,10,-10.996,2,3,1,0.981
43,5,-11.086,2,3,1,0.98
44,5,-12.006,1,2,1,0.98
45,15,-12.936,1,7,1,0.979
46,20,-12.583,2,11,1,0.979
47,12,-13.766,0,3,1,0.978
48,5,-13.026,0,3,1,0.978
49,5,-12.531,0,3,1,0.977
50,24,-12.243,2,8,1,0.977
51,6,-9.063,1,1,1,0.976
52,15,-12.703,0,2,1,0.976
53,5,-12.078,1,3,1,0.975
54,11,-12.568,0,5,1,0.975
55,6,-13.053,0,2,1,0.974
56,10,-11.286,2,4,1,0.974
57,20,-14.206,0,7,1,0.973
58,9,-12.366,1,3,1,0.973
59,9,-13.386,0,3,1,0.972
60,8,-13.228,0,2,1,0.972
61,7,-13.351,0,5,1,0.972
62,5,-11.486,1,3,1,0.971
63,7,-12.651,0,3,1,0.971
64,5,-13.036,0,3,1,0.97
65,5,-12.036,1,3,1,0.97
66,8,-12.816,0,2,1,0.969
67,9,-12.118,0,3,1,0.969
68,8,-13.418,0,5,1,0.968
69,49,-13.826,3,22,1,0.968
70,6,-13.283,0,5,1,0.967
71,18,-13.043,1,6,1,0.967
72,5,-9.828,2,1,1,0.966
73,9,-11.768,1,4,1,0.966
74,12,-9.511,1,3,1,0.965
75,5,-12.946,0,2,1,0.965
76,30,-10.577,4,9,1,0.964
77,7,-11.673,1,3,1,0.964
78,6,-12.383,0,2,1,0.963
79,7,-13.351,0,5,1,0.963
80,6,-12.228,1,3,1,0.962
81,14,-14.168,0,10,1,0.962
82,9,-12.468,0,1,1,0.962
83,9,-11.846,1,4,1,0.961
84,7,-12.591,0,2,1,0.961
85,18,-11.554,2,7,1,0.96
86,9,-12.366,1,3,1,0.96
87,5,-13.056,0,3,1,0.959
88,13,-11.536,2,2,1,0.959
89,23,-12.929,1,9,1,0.958
90,6,-13.051,0,1,1,0.958
91,14,-12.808,1,3,1,0.957
92,5,-12.891,0,2,1,0.957
93,5,-12.956,0,2,1,0.956
94,7,-12.128,0,4,1,0.956
95,10,-13.638,0,5,1,0.955
96,5,-11.651,0,1,1,0.955
97,9,-13.216,0,3,1,0.954
98,11,-13.431,0,5,1,0.954
99,8,-13.121,0,4,1,0.953
100,17,-11.253,2,4,1,0.953
101,5,-11.493,1,2,1,0.953
102,5,-12.081,1,3,1,0.952
103,17,-11.936,2,5,1,0.952
104,14,-10.746,3,6,1,0.951
105,8,-10.288,2,4,1,0.951
106,5,-12.131,1,3,1,0.95
107,6,-12.178,1,3,1,0.95
108,9,-11.691,1,3,1,0.949
109,19,-12.762,0,2,1,0.949
110,6,-13.011,0,2,1,0.948
111,9,-11.883,1,5,1,0.948
112,8,-13.223,0,4,1,0.947
113,21,-12.464,2,11,1,0.947
114,6,-13.191,0,3,1,0.946
115,5,-13.036,0,3,1,0.946
116,8,-13.333,0,4,1,0.945
117,15,-13.813,0,4,1,0.945
118,32,-13.665,1,12,1,0.944
119,6,-11.388,1,2,1,0.944
120,16,-11.158,3,5,1,0.943
121,5,-11.421,1,1,1,0.943
122,7,-11.641,1,3,1,0.943
123,6,-8.226,2,0,1,0.942
124,20,-12.273,2,5,1,0.942
125,5,-12.421,0,3,1,0.941
126,13,-13.061,0,5,1,0.941
127,5,-12.728,0,0,1,0.94
128,14,-12.728,1,5,1,0.94
129,6,-13.098,0,3,1,0.939
130,12,-12.856,0,1,1,0.939
131,15,-14.241,0,7,1,0.938
132,10,-11.391,2,6,1,0.938
133,13,-11.978,1,6,1,0.937
134,13,-11.736,2,4,1,0.937
135,7,-12.481,1,6,1,0.936
136,27,-11.312,3,10,1,0.936
137,10,-12.676,0,3,1,0.935
138,7,-12.928,0,2,1,0.935
139,26,-15.014,0,14,1,0.934
140,7,-9.613,3,3,1,0.934
141,28,-14.527,1,14,1,0.933
142,37,-14.673,1,14,1,0.933
143,5,-12.981,0,2,1,0.933
144,7,-11.591,1,2,1,0.932
145,5,-12.186,1,3,1,0.932
146,9,-12.631,1,6,1,0.931
147,5,-12.993,0,2,1,0.931
148,17,-11.106,2,4,1,0.93
149,7,-12.438,1,4,1,0.93
150,5,-11.961,1,1,1,0.929
151,14,-13.928,0,5,1,0.929
152,15,-11.948,2,6,1,0.928
153,9,-11.786,1,5,1,0.928
154,7,-11.961,1,2,1,0.927
155,13,-13.638,0,6,1,0.927
156,7,-13.188,0,2,1,0.926
157,6,-12.096,1,2,1,0.926
158,6,-12.416,0,2,1,0.925
159,13,-12.988,1,6,1,0.925
160,7,-11.641,1,2,1,0.924
161,10,-11.038,2,5,1,0.924
162,5,-9.676,2,0,1,0.924
163,7,-12.616,0,2,1,0.923
164,18,-10.758,3,4,1,0.923
165,8,-10.558,2,3,1,0.922
166,6,-12.103,1,3,1,0.922
167,17,-14.383,0,7,1,0.921
168,15,-13.706,0,5,1,0.921
169,9,-13.401,0,4,1,0.92
170,5,-12.866,0,1,1,0.92
171,6,-13.063,0,2,1,0.919
172,9,-12.433,1,4,1,0.919
173,5,-12.051,1,2,1,0.918
174,5,-12.168,1,3,1,0.918
175,10,-11.821,1,3,1,0.917
176,35,-10.836,4,15,1,0.917
177,5,-12.898,0,1,1,0.916
178,8,-12.671,0,3,1,0.916
179,12,-14.038,0,9,1,0.915
180,10,-10.863,2,5,1,0.915
181,17,-11.704,2,7,1,0.914
182,13,-12.866,1,4,1,0.914
183,8,-13.341,0,4,1,0.914
184,6,-12.073,1,2,1,0.913
185,9,-11.863,1,3,1,0.913
186,11,-9.736,1,2,1,0.912
187,10,-13.683,0,6,1,0.912
188,11,-12.683,1,6,1,0.911
189,8,-13.041,0,2,1,0.911
190,7,-13.336,0,5,1,0.91
191,19,-11.204,2,7,1,0.91
192,7,-13.251,0,2,1,0.909
193,6,-11.633,1,3,1,0.909
194,7,-13.281,0,4,1,0.908
195,13,-12.433,1,3,1,0.908
196,22,-14.091,0,7,1,0.907
197,17,-13.153,1,8,1,0.907
198,5,-9.656,2,0,1,0.906
199,15,-12.543,1,7,1,0.906
200,7,-12.331,1,5,1,0.905
201,40,-15.807,0,20,1,0.905
202,21,-12.448,2,7,1,0.905
203,17,-12.581,1,7,1,0.904
204,6,-12.663,0,4,1,0.904
205,5,-12.448,0,2,1,0.903
206,7,-13.191,0,3,1,0.903
207,10,-11.213,1,2,1,0.902
208,17,-13.116,1,9,1,0.902
209,24,-13.701,0,10,1,0.901
210,9,-11.626,2,4,1,0.901
211,7,-13.191,0,3,1,0.9
212,7,-11.058,2,2,1,0.9
213,5,-10.331,2,1,1,0.899
214,6,-12.053,1,2,1,0.899
215,12,-13.521,0,5,1,0.898
216,8,-13.466,0,5,1,0.898
217,14,-12.848,1,5,1,0.897
218,9,-12.101,0,3,1,0.897
219,10,-13.611,0,5,1,0.896
220,42,-13.802,2,13,1,0.896
221,13,-12.768,1,6,1,0.895
222,10,-12.598,1,5,1,0.895
223,9,-13.406,0,4,1,0.895
224,5,-13.026,0,3,1,0.894
225,8,-12.306,1,3,1,0.894
226,5,-12.063,1,2,1,0.893
227,17,-14.328,0,5,1,0.893
228,10,-13.296,0,3,1,0.892
229,5,-12.531,0,3,1,0.892
230,14,-12.798,1,7,1,0.891
231,5,-11.836,0,1,1,0.891
232,10,-11.263,2,3,1,0.89
233,51,-15.386,2,15,1,0.89
234,16,-12.416,1,5,1,0.889
235,18,-11.546,2,7,1,0.889
236,5,-13.046,0,3,1,0.888
237,8,-11.453,2,4,1,0.888
238,10,-11.711,1,2,1,0.887
239,6,-12.066,1,2,1,0.887
240,11,-13.156,0,7,1,0.886
241,11,-13.403,0,4,1,0.886
242,11,-11.513,2,2,1,0.886
243,7,-12.341,1,3,1,0.885
244,17,-11.679,2,7,1,0.885
245,11,-12.671,1,5,1,0.884
246,7,-11.221,2,3,1,0.884
247,15,-13.176,1,8,1,0.883
248,9,-10.911,2,1,1,0.883
249,5,-13.026,0,3,1,0.882
250,7,-11.601,1,3,1,0.882
251,10,-13.003,0,5,1,0.881
252,17,-13.828,0,4,1,0.881
253,36,-12.48,1,8,1,0.88
254,5,-12.006,1,2,1,0.88
255,15,-13.403,1,10,1,0.879
256,22,-9.426,2,6,1,0.879
257,14,-12.029,2,7,1,0.878
258,8,-12.453,0,3,1,0.878
259,5,-11.006,2,2,1,0.877
260,24,-14.583,0,6,1,0.877
261,5,-13.001,0,2,1,0.877
262,15,-10.866,3,5,1,0.876
263,8,-11.531,1,3,1,0.876
264,14,-13.056,1,6,1,0.875
265,19,-12.592,2,8,1,0.875
266,9,-10.756,2,4,1,0.874
267,16,-13.006,1,5,1,0.874
268,6,-12.403,0,2,1,0.873
269,10,-13.411,0,4,1,0.873
270,8,-12.651,0,2,1,0.872
271,12,-12.761,1,6,1,0.872
272,13,-11.098,2,4,1,0.871
273,22,-13.826,0,7,1,0.871
274,11,-12.901,0,3,1,0.87
275,21,-14.476,0,5,1,0.87
276,19,-11.692,2,5,1,0.869
277,6,-13.038,0,2,1,0.869
278,19,-8.238,3,2,1,0.868
279,10,-12.231,1,2,1,0.868
280,12,-12.753,1,4,1,0.867
281,8,-13.271,0,5,1,0.867
282,6,-13.051,0,2,1,0.867
