episode,steps,reward,coins,invalid,self_kill,eps
1,6,-9.796,2,1,1,1.0
2,5,-11.876,1,1,1,0.998
3,28,-12.393,3,13,1,0.996
4,5,-11.531,1,3,1,0.994
5,7,-11.198,2,3,1,0.992
6,7,-12.211,1,2,1,0.99
7,34,-12.637,2,11,1,0.988
8,8,-12.333,1,4,1,0.986
9,15,-13.122,0,4,1,0.984
10,8,-12.976,0,1,1,0.982
11,8,-13.426,0,4,1,0.98
12,5,-12.126,1,3,1,0.978
13,16,-10.446,3,6,1,0.976
14,9,-13.501,0,4,1,0.974
15,32,-14.791,1,15,1,0.972
16,21,-12.198,2,9,1,0.97
17,6,-12.103,1,3,1,0.968
18,6,-13.241,0,4,1,0.966
19,6,-12.131,1,2,1,0.964
20,10,-9.628,3,3,1,0.962
21,8,-11.148,2,2,1,0.96
22,7,-11.378,1,2,1,0.958
23,9,-12.791,0,3,1,0.956
24,20,-13.991,0,10,1,0.954
25,5,-12.433,0,3,1,0.952
26,10,-12.611,1,5,1,0.951
27,8,-12.233,1,4,1,0.949
28,9,-13.321,0,4,1,0.947
29,5,-13.056,0,3,1,0.945
30,14,-11.258,2,4,1,0.943
31,8,-12.878,0,5,1,0.941
32,15,-12.378,1,4,1,0.939
33,13,-12.361,1,4,1,0.937
34,7,-11.106,1,1,1,0.935
35,5,-12.001,1,2,1,0.933
36,22,-11.218,3,5,1,0.931
37,5,-11.533,1,3,1,0.929
38,14,-13.923,0,7,1,0.927
39,11,-12.743,0,4,1,0.925
40,7,-12.823,0,1,1,0.923
41,15,-12.628,1,5,1,0.921
42,21,-13.231,1,9,1,0.919
43,6,-11.153,2,3,1,0.917
44,9,-12.356,1,3,1,0.915
45,5,-11.956,1,2,1,0.913
46,6,-12.291,1,4,1,0.911
47,19,-13.318,1,8,1,0.909
48,5,-12.353,0,2,1,0.907
49,6,-11.838,1,1,1,0.905
50,26,-9.069,5,12,1,0.903
51,10,-12.311,1,4,1,0.901
52,6,-12.978,0,3,1,0.899
53,7,-11.156,2,2,1,0.897
54,5,-12.528,0,3,1,0.895
55,18,-11.788,2,3,1,0.893
56,5,-12.081,1,3,1,0.891
57,8,-13.303,0,4,1,0.889
58,6,-12.053,1,2,1,0.887
59,8,-10.533,2,3,1,0.885
60,10,-13.486,0,3,1,0.883
61,13,-13.873,0,6,1,0.881
62,27,-8.991,5,10,1,0.879
63,10,-13.408,0,2,1,0.877
64,6,-12.228,1,4,1,0.875
65,9,-12.428,1,5,1,0.873
66,26,-15.331,0,15,1,0.871
67,14,-13.698,0,7,1,0.869
68,12,-13.776,0,6,1,0.867
69,10,-11.666,1,2,1,0.865
70,15,-13.031,1,6,1,0.863
71,16,-13.294,1,8,1,0.861
72,25,-12.646,2,11,1,0.859
73,15,-11.898,2,5,1,0.857
74,17,-11.863,2,3,1,0.855
75,7,-7.496,2,1,1,0.853
76,49,-11.219,6,14,1,0.852
77,38,-10.792,5,13,1,0.85
78,15,-14.063,0,10,1,0.848
79,11,-10.978,2,4,1,0.846
80,10,-11.981,1,4,1,0.844
81,11,-11.173,1,0,1,0.842
82,17,-13.573,0,3,1,0.84
83,24,-12.342,2,10,1,0.838
84,7,-13.251,0,4,1,0.836
85,8,-13.506,0,5,1,0.834
86,12,-10.146,3,6,1,0.832
87,29,-12.996,2,8,1,0.83
88,7,-10.393,2,2,1,0.828
89,23,-9.758,4,8,1,0.826
90,5,-12.976,0,2,1,0.824
91,6,-11.678,1,4,1,0.822
92,13,-13.653,0,6,1,0.82
93,17,-12.827,1,8,1,0.818
94,6,-13.148,0,3,1,0.816
95,20,-13.664,1,9,1,0.814
96,6,-11.706,0,1,1,0.812
97,20,-9.632,4,4,1,0.81
98,7,-12.423,0,2,1,0.808
99,19,-13.248,0,6,1,0.806
100,7,-12.981,0,1,1,0.804
101,9,-11.903,1,4,1,0.802
102,6,-10.943,1,2,1,0.8
103,11,-11.411,2,2,1,0.798
104,11,-11.473,1,4,1,0.796
105,18,-12.538,2,10,1,0.794
106,5,-10.926,1,2,1,0.792
107,8,-10.708,2,3,1,0.79
108,40,-13.805,1,10,1,0.788
109,7,-13.126,0,4,1,0.786
