episode,steps,total_reward,coins,crates,invalid,killed_self,killed_opponents,survived,epsilon,alpha,buffer
1,400,21.936,11,41,0,0,0,1,1.0,0.0001,400
2,400,18.621,9,50,0,0,0,1,0.999,0.0001,800
3,400,29.392,18,52,0,0,0,1,0.999,0.0001,1200
4,400,13.757,7,28,0,0,0,1,0.998,0.0001,1600
5,400,27.074,14,59,0,0,0,1,0.997,0.0001,2000
6,400,23.999,12,44,0,0,0,1,0.997,0.0001,2400
7,400,19.806,9,42,0,0,0,1,0.996,0.0001,2800
8,400,27.674,12,61,0,0,0,1,0.995,0.0001,3200
9,400,15.798,7,29,0,0,0,1,0.995,0.0001,3600
10,400,15.044,8,35,0,0,0,1,0.994,0.0001,4000
11,400,31.947,17,54,0,0,0,1,0.994,0.0001,4400
12,400,18.521,11,43,0,0,0,1,0.993,0.0001,4800
13,400,24.723,12,41,0,0,0,1,0.992,0.0001,5200
14,400,23.808,8,29,0,0,0,1,0.992,0.0001,5600
15,400,19.984,7,44,0,0,0,1,0.991,0.0001,6000
16,400,21.2,12,29,0,0,0,1,0.99,0.0001,6400
17,400,23.285,11,47,0,0,0,1,0.99,0.0001,6800
18,400,29.568,13,49,0,0,0,1,0.989,0.0001,7200
19,400,12.989,5,36,0,0,0,1,0.988,0.0001,7600
20,400,13.636,6,33,0,0,0,1,0.988,0.0001,8000
21,400,19.528,9,37,0,0,0,1,0.987,0.0001,8400
22,400,20.598,8,40,0,0,0,1,0.986,0.0001,8800
23,400,30.605,15,52,0,0,0,1,0.986,0.0001,9200
24,400,28.713,15,39,0,0,0,1,0.985,0.0001,9600
25,400,23.962,11,49,0,0,0,1,0.984,0.0001,10000
26,400,22.881,12,40,0,0,0,1,0.984,0.0001,10000
27,400,21.414,9,42,0,0,0,1,0.983,0.0001,10000
28,400,28.787,16,41,0,0,0,1,0.983,0.0001,10000
29,400,15.82,9,30,0,0,0,1,0.982,0.0001,10000
30,400,20.163,10,34,0,0,0,1,0.981,0.0001,10000
31,400,27.33,15,55,0,0,0,1,0.981,0.0001,10000
32,400,22.758,8,44,0,0,0,1,0.98,0.0001,10000
33,400,29.474,16,60,0,0,0,1,0.979,0.0001,10000
34,400,14.337,10,35,0,0,0,1,0.979,0.0001,10000
35,400,17.231,8,29,0,0,0,1,0.978,0.0001,10000
36,400,18.444,11,31,0,0,0,1,0.977,0.0001,10000
37,400,27.718,12,56,0,0,0,1,0.977,0.0001,10000
38,400,25.664,16,44,0,0,0,1,0.976,0.0001,10000
39,400,24.446,11,33,0,0,0,1,0.975,0.0001,10000
40,400,24.58,10,58,0,0,0,1,0.975,0.0001,10000
41,400,26.393,13,41,0,0,0,1,0.974,0.0001,10000
42,400,24.531,13,58,0,0,0,1,0.973,0.0001,10000
43,400,15.447,7,29,0,0,0,1,0.973,0.0001,10000
44,400,27.694,12,41,0,0,0,1,0.972,0.0001,10000
45,400,28.615,14,44,0,0,0,1,0.972,0.0001,10000
46,400,11.45,6,35,0,0,0,1,0.971,0.0001,10000
47,400,24.207,13,42,0,0,0,1,0.97,0.0001,10000
48,400,20.477,10,31,0,0,0,1,0.97,0.0001,10000
49,400,20.605,12,45,0,0,0,1,0.969,0.0001,10000
50,400,32.887,16,56,0,0,0,1,0.968,0.0001,10000
