episode,steps,total_reward,coins,crates,invalid,killed_self,killed_opponents,survived,epsilon,alpha,buffer
1,5,-13.111,0,4,0,1,0,0,1.0,0.02,5
2,8,-11.735,0,3,0,1,0,0,1.0,0.02,13
3,9,-12.839,0,2,0,1,0,0,0.999,0.02,22
4,7,-12.748,0,2,0,1,0,0,0.999,0.02,29
5,5,-13.212,0,3,0,1,0,0,0.998,0.02,34
6,5,-12.235,0,2,0,1,0,0,0.998,0.02,39
7,6,-12.876,0,1,0,1,0,0,0.997,0.02,45
8,7,-9.82,0,3,0,1,0,0,0.997,0.0199,52
9,15,-9.639,0,5,0,1,0,0,0.996,0.0199,67
10,6,-12.776,0,2,0,1,0,0,0.996,0.0199,73
11,6,-9.697,0,2,0,1,0,0,0.995,0.0199,79
12,19,-13.726,0,4,0,1,0,0,0.995,0.0199,98
13,7,-12.812,0,2,0,1,0,0,0.994,0.0199,105
14,5,-13.112,0,4,0,1,0,0,0.994,0.0199,110
15,5,-13.19,0,3,0,1,0,0,0.993,0.0199,115
16,7,-9.854,0,1,0,1,0,0,0.993,0.0199,122
17,11,-11.421,0,5,0,1,0,0,0.992,0.0199,133
18,9,-11.784,0,1,0,1,0,0,0.992,0.0199,142
19,5,-12.762,0,2,0,1,0,0,0.991,0.0199,147
20,21,-12.567,0,6,0,1,0,0,0.991,0.0198,168
21,5,-13.212,0,3,0,1,0,0,0.991,0.0198,173
22,13,-12.809,0,3,0,1,0,0,0.99,0.0198,186
23,5,-12.761,0,2,0,1,0,0,0.99,0.0198,191
24,7,-9.83,0,1,0,1,0,0,0.989,0.0198,198
25,18,-12.321,0,8,0,1,0,0,0.989,0.0198,216
26,10,-13.194,0,4,0,1,0,0,0.988,0.0198,226
27,10,-13.746,0,3,0,1,0,0,0.988,0.0198,236
28,5,-12.612,0,3,0,1,0,0,0.987,0.0198,241
29,9,-10.351,0,1,0,1,0,0,0.987,0.0198,250
30,8,-9.625,0,3,0,1,0,0,0.986,0.0198,258
31,9,-13.07,0,4,0,1,0,0,0.986,0.0198,267
32,8,-10.441,0,2,0,1,0,0,0.985,0.0198,275
33,16,-12.672,0,4,0,1,0,0,0.985,0.0197,291
34,9,-12.955,0,1,0,1,0,0,0.984,0.0197,300
35,8,-9.434,0,3,0,1,0,0,0.984,0.0197,308
36,7,-12.376,0,1,0,1,0,0,0.983,0.0197,315
37,9,-10.404,0,1,0,1,0,0,0.983,0.0197,324
38,12,-13.184,0,4,0,1,0,0,0.982,0.0197,336
39,5,-12.634,0,3,0,1,0,0,0.982,0.0197,341
40,12,-9.62,0,2,0,1,0,0,0.981,0.0197,353
41,23,-13.035,0,4,0,1,0,0,0.981,0.0197,376
42,6,-12.698,0,3,0,1,0,0,0.981,0.0197,382
43,10,-12.633,0,0,0,1,0,0,0.98,0.0197,392
44,22,-12.293,0,5,0,1,0,0,0.98,0.0197,414
45,20,-13.279,0,3,0,1,0,0,0.979,0.0196,434
46,5,-13.112,0,4,0,1,0,0,0.979,0.0196,439
47,25,-10.446,0,3,0,1,0,0,0.978,0.0196,464
48,5,-13.062,0,4,0,1,0,0,0.978,0.0196,469
49,10,-9.44,0,3,0,1,0,0,0.977,0.0196,479
50,7,-12.284,0,2,0,1,0,0,0.977,0.0196,486
51,19,-11.655,0,6,0,1,0,0,0.976,0.0196,505
52,13,-12.023,0,7,0,1,0,0,0.976,0.0196,518
53,7,-12.789,0,2,0,1,0,0,0.975,0.0196,525
54,8,-12.827,0,2,0,1,0,0,0.975,0.0196,533
55,10,-13.305,0,3,0,1,0,0,0.974,0.0196,543
56,5,-13.212,0,3,0,1,0,0,0.974,0.0196,548
57,11,-13.248,0,3,0,1,0,0,0.973,0.0196,559
58,9,-9.76,0,2,0,1,0,0,0.973,0.0195,568
59,11,-12.909,0,2,0,1,0,0,0.972,0.0195,579
60,7,-13.576,0,4,0,1,0,0,0.972,0.0195,586
61,5,-13.112,0,4,0,1,0,0,0.972,0.0195,591
62,15,-12.299,0,4,0,1,0,0,0.971,0.0195,606
63,21,-13.194,0,1,0,1,0,0,0.971,0.0195,627
64,11,-13.667,0,4,0,1,0,0,0.97,0.0195,638
65,5,-13.112,0,4,0,1,0,0,0.97,0.0195,643
