episode,steps,reward,coins,invalid,self_kill,eps
1,13,-12.6,1,7,1,1.0
2,9,-12.8,1,4,1,1.0
3,5,-12.4,1,2,1,1.0
4,13,-13.8,0,5,1,0.99
5,6,-10.5,2,3,1,0.99
6,8,-12.0,1,5,1,0.99
7,9,-11.8,2,4,1,0.99
8,19,-14.3,1,11,1,0.99
9,6,-13.6,0,2,1,0.98
10,9,-13.8,0,4,1,0.98
11,15,-12.0,2,6,1,0.98
12,14,-12.7,1,4,1,0.98
13,13,-12.5,1,5,1,0.98
14,5,-12.3,1,3,1,0.97
15,10,-14.6,0,9,1,0.97
16,29,-15.9,0,12,1,0.97
17,10,-13.1,1,4,1,0.97
18,9,-12.4,1,4,1,0.97
19,15,-14.0,1,7,1,0.96
20,8,-13.5,0,4,1,0.96
21,11,-12.6,1,3,1,0.96
22,14,-13.5,1,6,1,0.96
23,16,-11.2,3,7,1,0.96
24,11,-13.1,1,6,1,0.95
25,44,-7.2,6,19,0,0.95
26,9,-12.9,0,4,1,0.95
27,7,-12.8,1,5,1,0.95
28,11,-12.9,1,5,1,0.95
29,10,-13.2,1,5,1,0.94
30,10,-13.1,0,6,1,0.94
31,5,-12.5,0,0,1,0.94
32,6,-12.5,1,2,1,0.94
33,7,-12.5,1,3,1,0.94
34,5,-12.0,1,2,1,0.93
35,5,-13.8,0,3,1,0.93
36,20,-14.0,1,8,1,0.93
37,5,-12.4,1,2,1,0.93
38,12,-13.1,1,4,1,0.93
39,10,-12.9,1,5,1,0.92
40,8,-12.2,1,3,1,0.92
41,17,-10.9,2,2,1,0.92
42,12,-13.2,1,5,1,0.92
43,10,-13.0,1,4,1,0.92
44,29,-15.5,0,8,1,0.91
45,7,-10.2,2,1,1,0.91
46,7,-11.9,1,2,1,0.91
47,33,-13.2,3,10,1,0.91
48,6,-12.3,1,2,1,0.91
49,16,-12.1,2,7,1,0.9
50,5,-13.3,0,2,1,0.9
51,22,-7.4,2,6,0,0.9
52,8,-12.5,1,2,1,0.9
53,10,-13.2,1,7,1,0.9
54,21,-8.4,3,6,1,0.9
55,5,-13.3,0,2,1,0.89
56,5,-11.9,1,2,1,0.89
57,8,-12.8,1,2,1,0.89
58,14,-12.2,2,5,1,0.89
59,8,-10.5,2,1,1,0.89
60,27,-13.2,2,12,1,0.88
61,6,-13.6,0,3,1,0.88
62,22,-7.5,2,9,0,0.88
63,10,-13.4,0,4,1,0.88
64,5,-13.0,0,3,1,0.88
65,21,-14.0,1,7,1,0.87
66,9,-11.4,1,3,1,0.87
67,19,-13.6,1,3,1,0.87
68,25,-15.1,0,9,1,0.87
69,18,-13.7,0,4,1,0.87
70,5,-13.5,0,2,1,0.86
71,14,-12.1,2,2,1,0.86
72,5,-13.5,0,3,1,0.86
73,27,-9.8,4,7,1,0.86
74,6,-13.0,0,3,1,0.86
75,25,-10.3,0,10,0,0.85
76,8,-12.0,1,3,1,0.85
77,7,-12.8,0,3,1,0.85
78,7,-13.1,0,2,1,0.85
79,17,-13.2,1,5,1,0.85
80,26,-10.9,2,8,1,0.84
81,21,-14.4,0,7,1,0.84
82,9,-12.5,1,2,1,0.84
83,5,-11.0,2,3,1,0.84
84,8,-11.0,0,2,1,0.84
85,13,-9.1,2,4,1,0.83
86,19,-11.4,3,1,1,0.83
87,14,-7.7,1,3,0,0.83
88,7,-13.2,0,3,1,0.83
89,13,-12.6,2,4,1,0.83
90,7,-12.7,1,4,1,0.82
91,10,-13.7,0,3,1,0.82
92,7,-12.1,1,4,1,0.82
93,9,-12.5,1,4,1,0.82
94,5,-11.8,1,2,1,0.82
95,12,-13.6,0,3,1,0.81
96,31,-11.3,0,14,0,0.81
97,17,-13.9,0,6,1,0.81
98,16,-10.7,2,1,1,0.81
99,7,-13.2,0,4,1,0.81
100,19,-14.6,0,9,1,0.8
101,21,-8.2,1,9,0,0.8
102,6,-12.7,1,5,1,0.8
103,7,-13.1,0,3,1,0.8
104,10,-13.0,1,3,1,0.8
105,12,-9.3,2,5,1,0.79
106,5,-13.2,0,1,1,0.79
107,9,-13.0,1,6,1,0.79
108,10,-10.9,0,1,1,0.79
109,16,-13.5,1,8,1,0.79
110,36,-11.6,5,12,1,0.78
111,55,-13.9,4,17,1,0.78
112,12,-9.1,2,3,1,0.78
113,22,-11.8,3,8,1,0.78
114,9,-13.8,0,4,1,0.78
115,38,-8.0,5,6,1,0.77
116,7,-13.2,0,3,1,0.77
117,12,-13.7,0,4,1,0.77
118,14,-13.0,1,5,1,0.77
119,9,-11.6,2,4,1,0.77
120,11,-13.9,0,6,1,0.76
121,9,-13.1,0,3,1,0.76
122,5,-13.2,0,1,1,0.76
123,16,-13.3,1,4,1,0.76
124,59,-7.4,3,19,0,0.76
125,6,-11.8,1,1,1,0.75
126,25,-10.2,4,6,1,0.75
127,18,-11.3,2,2,1,0.75
128,9,-12.7,1,4,1,0.75
129,38,-13.2,3,12,1,0.75
130,7,-12.7,0,3,1,0.74
131,9,-13.9,0,3,1,0.74
132,11,-11.5,2,4,1,0.74
133,10,-12.9,0,2,1,0.74
134,6,-12.8,1,3,1,0.74
135,20,-11.1,3,5,1,0.73
136,11,-9.9,3,1,1,0.73
137,7,-12.6,1,2,1,0.73
138,48,-14.0,4,14,1,0.73
139,25,-9.4,5,6,1,0.73
140,8,-9.4,1,2,1,0.72
141,12,-12.5,1,6,1,0.72
142,10,-11.3,2,4,1,0.72
143,28,-12.6,0,8,1,0.72
144,56,-17.3,2,19,1,0.72
145,18,-12.9,1,2,1,0.71
146,8,-10.9,2,0,1,0.71
147,22,-12.0,2,6,1,0.71
148,11,-11.4,1,3,1,0.71
149,8,-12.3,0,2,1,0.71
150,38,-6.6,5,9,0,0.7
151,5,-11.9,1,2,1,0.7
152,8,-12.6,1,3,1,0.7
153,13,-12.2,1,2,1,0.7
154,14,-13.7,1,7,1,0.7
155,9,-13.2,0,4,1,0.7
156,11,-10.1,3,3,1,0.69
157,14,-10.3,3,2,1,0.69
158,7,-13.0,0,4,1,0.69
159,22,-9.2,5,5,1,0.69
160,7,-10.6,0,2,1,0.69
161,12,-9.6,3,3,1,0.68
162,9,-13.2,0,4,1,0.68
163,45,-8.7,2,10,0,0.68
164,5,-13.4,0,3,1,0.68
165,13,-9.9,1,6,1,0.68
166,6,-13.7,0,3,1,0.67
167,25,-10.6,4,7,1,0.67
168,5,-12.0,1,2,1,0.67
169,32,-11.4,3,14,1,0.67
170,39,-9.7,5,9,1,0.67
171,41,-10.2,5,14,1,0.66
172,42,-8.3,1,15,0,0.66
173,29,-6.9,2,4,0,0.66
174,52,-14.7,3,18,1,0.66
