episode,steps,total_reward,coins,crates,invalid,killed_self,killed_opponents,survived,epsilon,alpha,buffer
1,31,-13.961,0,2,9,1,0,0,1.0,0.02,31
2,7,-13.7,0,2,4,1,0,0,0.999,0.02,38
3,5,-13.27,0,4,2,1,0,0,0.999,0.02,43
4,8,-13.485,0,4,4,1,0,0,0.998,0.02,51
5,6,-14.149,0,1,2,1,0,0,0.997,0.02,57
6,9,-14.197,0,3,5,1,0,0,0.997,0.0199,66
7,6,-12.909,0,3,3,1,0,0,0.996,0.0199,72
8,19,-13.322,0,2,10,1,0,0,0.995,0.0199,91
9,8,-13.248,0,2,6,1,0,0,0.995,0.0199,99
10,8,-13.168,0,2,5,1,0,0,0.994,0.0199,107
11,6,-14.539,0,3,4,1,0,0,0.994,0.0199,113
12,5,-13.774,0,4,3,1,0,0,0.993,0.0199,118
13,25,-14.617,0,2,11,1,0,0,0.992,0.0199,143
14,9,-12.724,0,5,4,1,0,0,0.992,0.0199,152
15,9,-13.109,0,2,4,1,0,0,0.991,0.0199,161
16,6,-13.515,0,3,4,1,0,0,0.99,0.0198,167
17,22,-14.034,0,3,12,1,0,0,0.99,0.0198,189
18,16,-14.596,0,3,8,1,0,0,0.989,0.0198,205
19,10,-13.993,0,4,5,1,0,0,0.988,0.0198,215
20,20,-14.492,0,0,10,1,0,0,0.988,0.0198,235
21,5,-13.951,0,3,3,1,0,0,0.987,0.0198,240
22,17,-13.395,0,5,10,1,0,0,0.986,0.0198,257
23,9,-13.01,0,3,5,1,0,0,0.986,0.0198,266
24,11,-13.14,0,2,4,1,0,0,0.985,0.0198,277
25,6,-13.957,0,1,1,1,0,0,0.984,0.0197,283
26,16,-12.949,0,2,6,1,0,0,0.984,0.0197,299
27,11,-13.671,0,3,4,1,0,0,0.983,0.0197,310
28,11,-13.809,0,3,6,1,0,0,0.983,0.0197,321
29,7,-13.132,0,3,5,1,0,0,0.982,0.0197,328
30,10,-13.384,0,1,5,1,0,0,0.981,0.0197,338
31,9,-13.48,0,4,4,1,0,0,0.981,0.0197,347
32,15,-12.982,0,3,7,1,0,0,0.98,0.0197,362
33,7,-13.103,0,2,4,1,0,0,0.979,0.0197,369
34,8,-13.117,0,3,5,1,0,0,0.979,0.0196,377
35,26,-13.733,0,2,12,1,0,0,0.978,0.0196,403
36,18,-13.835,0,3,10,1,0,0,0.977,0.0196,421
37,8,-13.016,0,3,5,1,0,0,0.977,0.0196,429
38,7,-13.053,0,3,4,1,0,0,0.976,0.0196,436
39,9,-14.472,0,2,2,1,0,0,0.975,0.0196,445
40,22,-13.93,0,4,10,1,0,0,0.975,0.0196,467
41,5,-14.002,0,2,3,1,0,0,0.974,0.0196,472
42,10,-14.645,0,3,5,1,0,0,0.973,0.0196,482
43,7,-13.053,0,2,4,1,0,0,0.973,0.0196,489
44,6,-13.509,0,3,4,1,0,0,0.972,0.0195,495
45,12,-12.826,0,3,7,1,0,0,0.972,0.0195,507
46,13,-13.928,0,2,6,1,0,0,0.971,0.0195,520
47,11,-13.658,0,4,6,1,0,0,0.97,0.0195,531
48,23,-14.121,0,5,12,1,0,0,0.97,0.0195,554
49,18,-14.175,0,2,7,1,0,0,0.969,0.0195,572
50,20,-14.563,0,2,11,1,0,0,0.968,0.0195,592
51,9,-13.121,0,2,4,1,0,0,0.968,0.0195,601
52,6,-13.117,0,2,4,1,0,0,0.967,0.0195,607
53,29,-14.204,0,3,13,1,0,0,0.966,0.0194,636
54,8,-13.137,0,2,4,1,0,0,0.966,0.0194,644
55,7,-13.082,0,2,4,1,0,0,0.965,0.0194,651
56,28,-14.044,0,3,10,1,0,0,0.964,0.0194,679
57,15,-14.078,0,4,9,1,0,0,0.964,0.0194,694
58,7,-12.374,0,3,3,1,0,0,0.963,0.0194,701
59,12,-13.728,0,2,9,1,0,0,0.962,0.0194,713
60,7,-13.949,0,4,4,1,0,0,0.962,0.0194,720
61,7,-13.182,0,1,5,1,0,0,0.961,0.0194,727
62,5,-13.272,0,3,2,1,0,0,0.961,0.0193,732
63,10,-13.513,0,2,2,1,0,0,0.96,0.0193,742
64,20,-13.832,0,3,10,1,0,0,0.959,0.0193,762
65,5,-13.271,0,4,2,1,0,0,0.959,0.0193,767
66,7,-12.952,0,2,3,1,0,0,0.958,0.0193,774
67,11,-12.705,0,2,4,1,0,0,0.957,0.0193,785
68,8,-13.036,0,2,3,1,0,0,0.957,0.0193,793
69,5,-13.814,0,3,2,1,0,0,0.956,0.0193,798
70,16,-12.604,0,3,8,1,0,0,0.955,0.0193,814
71,23,-13.877,0,2,10,1,0,0,0.955,0.0193,837
72,25,-14.166,0,6,14,1,0,0,0.954,0.0192,862
73,14,-13.913,0,3,6,1,0,0,0.953,0.0192,876
74,6,-12.91,0,2,2,1,0,0,0.953,0.0192,882
75,6,-13.015,0,2,3,1,0,0,0.952,0.0192,888
76,6,-13.761,0,1,4,1,0,0,0.952,0.0192,894
77,6,-13.189,0,1,5,1,0,0,0.951,0.0192,900
78,13,-13.529,0,1,6,1,0,0,0.95,0.0192,913
79,10,-14.168,0,2,4,1,0,0,0.95,0.0192,923
80,7,-12.972,0,2,2,1,0,0,0.949,0.0192,930
81,16,-13.802,0,4,6,1,0,0,0.948,0.0191,946
82,5,-13.814,0,3,2,1,0,0,0.948,0.0191,951
83,6,-12.787,0,3,3,1,0,0,0.947,0.0191,957
84,7,-13.319,0,4,3,1,0,0,0.946,0.0191,964
85,13,-13.699,0,4,5,1,0,0,0.946,0.0191,977
86,21,-13.181,0,3,8,1,0,0,0.945,0.0191,998
87,6,-13.539,0,4,5,1,0,0,0.944,0.0191,1004
88,9,-12.992,0,3,3,1,0,0,0.944,0.0191,1013
89,20,-14.664,0,3,7,1,0,0,0.943,0.0191,1033
90,12,-13.421,0,2,6,1,0,0,0.942,0.0191,1045
91,5,-12.85,0,3,3,1,0,0,0.942,0.019,1050
92,5,-14.302,0,4,3,1,0,0,0.941,0.019,1055
93,21,-13.893,0,1,9,1,0,0,0.941,0.019,1076
94,8,-13.297,0,2,6,1,0,0,0.94,0.019,1084
95,19,-14.068,0,2,12,1,0,0,0.939,0.019,1103
96,14,-14.451,0,4,9,1,0,0,0.939,0.019,1117
97,7,-14.043,0,3,3,1,0,0,0.938,0.019,1124
98,7,-13.032,0,3,5,1,0,0,0.937,0.019,1131
99,11,-13.997,0,2,6,1,0,0,0.937,0.019,1142
100,5,-13.122,0,4,2,1,0,0,0.936,0.0189,1147
101,5,-12.794,0,3,3,1,0,0,0.935,0.0189,1152
102,8,-9.96,0,2,3,1,0,0,0.935,0.0189,1160
103,6,-13.979,0,3,3,1,0,0,0.934,0.0189,1166
104,7,-9.611,0,2,1,1,0,0,0.933,0.0189,1173
105,19,-14.229,0,3,8,1,0,0,0.933,0.0189,1192
106,5,-12.722,0,3,2,1,0,0,0.932,0.0189,1197
107,9,-13.51,0,4,5,1,0,0,0.931,0.0189,1206
108,5,-13.364,0,3,2,1,0,0,0.931,0.0189,1211
109,8,-9.806,0,2,3,1,0,0,0.93,0.0188,1219
110,7,-14.149,0,2,4,1,0,0,0.93,0.0188,1226
111,9,-13.062,0,2,2,1,0,0,0.929,0.0188,1235
112,7,-12.525,0,2,3,1,0,0,0.928,0.0188,1242
113,9,-13.358,0,2,6,1,0,0,0.928,0.0188,1251
114,6,-13.555,0,1,2,1,0,0,0.927,0.0188,1257
115,15,-12.661,0,4,7,1,0,0,0.926,0.0188,1272
116,11,-13.711,0,4,6,1,0,0,0.926,0.0188,1283
117,39,-13.685,0,8,20,1,0,0,0.925,0.0188,1322
118,5,-13.95,0,2,3,1,0,0,0.924,0.0188,1327
119,13,-12.802,0,2,5,1,0,0,0.924,0.0187,1340
120,5,-14.022,0,1,2,1,0,0,0.923,0.0187,1345
121,10,-13.516,0,4,4,1,0,0,0.922,0.0187,1355
122,9,-13.133,0,3,5,1,0,0,0.922,0.0187,1364
123,6,-13.205,0,4,2,1,0,0,0.921,0.0187,1370
124,22,-13.767,0,1,7,1,0,0,0.92,0.0187,1392
125,25,-13.341,0,4,11,1,0,0,0.92,0.0187,1417
126,8,-13.547,0,2,2,1,0,0,0.919,0.0187,1425
127,18,-12.997,0,3,7,1,0,0,0.919,0.0187,1443
128,10,-14.164,0,2,4,1,0,0,0.918,0.0186,1453
129,5,-13.121,0,4,2,1,0,0,0.917,0.0186,1458
130,7,-12.853,0,3,3,1,0,0,0.917,0.0186,1465
131,21,-14.069,0,2,11,1,0,0,0.916,0.0186,1486
132,17,-14.007,0,4,8,1,0,0,0.915,0.0186,1503
133,8,-12.537,0,3,5,1,0,0,0.915,0.0186,1511
134,7,-13.92,0,3,3,1,0,0,0.914,0.0186,1518
135,7,-13.447,0,2,2,1,0,0,0.913,0.0186,1525
136,9,-12.605,0,3,5,1,0,0,0.913,0.0186,1534
137,16,-13.384,0,5,5,1,0,0,0.912,0.0185,1550
138,14,-13.701,0,3,4,1,0,0,0.911,0.0185,1564
139,11,-12.755,0,2,6,1,0,0,0.911,0.0185,1575
140,16,-14.13,0,1,6,1,0,0,0.91,0.0185,1591
141,12,-13.225,0,3,7,1,0,0,0.909,0.0185,1603
142,5,-13.451,0,3,3,1,0,0,0.909,0.0185,1608
143,5,-13.901,0,3,3,1,0,0,0.908,0.0185,1613
144,8,-13.495,0,3,4,1,0,0,0.908,0.0185,1621
145,6,-12.377,0,1,1,1,0,0,0.907,0.0185,1627
146,14,-12.825,0,3,7,1,0,0,0.906,0.0185,1641
147,6,-13.366,0,4,4,1,0,0,0.906,0.0184,1647
148,11,-13.74,0,3,5,1,0,0,0.905,0.0184,1658
149,5,-13.852,0,4,3,1,0,0,0.904,0.0184,1663
150,10,-12.972,0,1,6,1,0,0,0.904,0.0184,1673
151,14,-13.752,0,1,8,1,0,0,0.903,0.0184,1687
152,16,-14.573,0,4,9,1,0,0,0.902,0.0184,1703
153,10,-9.837,0,2,3,1,0,0,0.902,0.0184,1713
154,14,-13.6,0,3,9,1,0,0,0.901,0.0184,1727
155,12,-13.234,0,4,2,1,0,0,0.9,0.0184,1739
156,5,-13.764,0,3,2,1,0,0,0.9,0.0183,1744
157,37,-12.759,1,8,15,1,0,0,0.899,0.0183,1781
158,8,-12.557,0,2,3,1,0,0,0.898,0.0183,1789
159,6,-13.799,0,3,1,1,0,0,0.898,0.0183,1795
160,10,-12.592,0,3,5,1,0,0,0.897,0.0183,1805
161,19,-15.457,0,4,10,1,0,0,0.897,0.0183,1824
162,13,-13.402,0,3,7,1,0,0,0.896,0.0183,1837
163,6,-12.968,0,2,3,1,0,0,0.895,0.0183,1843
164,6,-13.409,0,3,3,1,0,0,0.895,0.0183,1849
165,7,-12.347,0,3,2,1,0,0,0.894,0.0183,1856
166,6,-12.492,0,2,3,1,0,0,0.893,0.0182,1862
167,6,-14.114,0,2,4,1,0,0,0.893,0.0182,1868
168,29,-13.45,0,7,12,1,0,0,0.892,0.0182,1897
169,12,-12.89,0,2,6,1,0,0,0.891,0.0182,1909
170,5,-13.372,0,3,2,1,0,0,0.891,0.0182,1914
171,24,-13.521,0,3,11,1,0,0,0.89,0.0182,1938
172,20,-14.304,0,4,10,1,0,0,0.889,0.0182,1958
173,10,-13.585,0,3,3,1,0,0,0.889,0.0182,1968
174,6,-12.539,0,1,3,1,0,0,0.888,0.0182,1974
175,5,-14.372,0,3,2,1,0,0,0.887,0.0181,1979
176,7,-13.032,0,2,4,1,0,0,0.887,0.0181,1986
177,15,-13.589,0,3,9,1,0,0,0.886,0.0181,2001
178,9,-11.949,0,3,3,1,0,0,0.886,0.0181,2010
179,5,-13.675,0,1,3,1,0,0,0.885,0.0181,2015
180,5,-13.345,0,3,2,1,0,0,0.884,0.0181,2020
181,36,-12.928,0,6,14,1,0,0,0.884,0.0181,2056
182,5,-12.95,0,2,3,1,0,0,0.883,0.0181,2061
183,13,-14.257,0,4,7,1,0,0,0.882,0.0181,2074
184,6,-12.867,0,3,4,1,0,0,0.882,0.018,2080
185,5,-13.772,0,3,2,1,0,0,0.881,0.018,2085
186,15,-14.438,0,3,7,1,0,0,0.88,0.018,2100
187,5,-13.902,0,3,3,1,0,0,0.88,0.018,2105
