episode,steps,total_reward,coins,crates,invalid,killed_self,killed_opponents,survived,epsilon,alpha,buffer
1,9,-12.425,0,3,4,1,0,0,1.0,0.02,9
2,10,-13.646,0,3,5,1,0,0,0.999,0.02,19
3,22,-13.349,0,5,7,1,0,0,0.999,0.02,41
4,7,-13.37,0,4,3,1,0,0,0.998,0.02,48
5,7,-13.45,0,4,4,1,0,0,0.997,0.02,55
6,17,-12.915,0,6,10,1,0,0,0.997,0.0199,72
7,6,-12.44,0,2,3,1,0,0,0.996,0.0199,78
8,7,-14.003,0,4,5,1,0,0,0.995,0.0199,85
9,7,-13.779,0,4,3,1,0,0,0.995,0.0199,92
10,7,-13.954,0,3,3,1,0,0,0.994,0.0199,99
11,8,-12.857,0,3,3,1,0,0,0.994,0.0199,107
12,5,-13.284,0,3,1,1,0,0,0.993,0.0199,112
13,12,-13.714,0,3,5,1,0,0,0.992,0.0199,124
14,12,-13.343,0,2,5,1,0,0,0.992,0.0199,136
15,6,-12.938,0,2,3,1,0,0,0.991,0.0199,142
16,5,-13.595,0,2,3,1,0,0,0.99,0.0198,147
17,32,-13.93,0,7,14,1,0,0,0.99,0.0198,179
18,7,-14.231,0,4,3,1,0,0,0.989,0.0198,186
19,10,-12.606,0,3,5,1,0,0,0.988,0.0198,196
20,13,-13.932,0,3,7,1,0,0,0.988,0.0198,209
21,10,-13.127,0,3,6,1,0,0,0.987,0.0198,219
22,7,-12.782,0,4,4,1,0,0,0.986,0.0198,226
23,11,-12.803,0,5,4,1,0,0,0.986,0.0198,237
24,8,-13.938,0,3,3,1,0,0,0.985,0.0198,245
25,10,-13.378,0,3,8,1,0,0,0.984,0.0197,255
26,6,-13.066,0,2,4,1,0,0,0.984,0.0197,261
27,5,-12.264,0,2,1,1,0,0,0.983,0.0197,266
28,13,-13.56,0,3,9,1,0,0,0.983,0.0197,279
29,32,-14.849,0,6,17,1,0,0,0.982,0.0197,311
30,29,-14.209,0,4,19,1,0,0,0.981,0.0197,340
31,6,-13.465,0,3,3,1,0,0,0.981,0.0197,346
32,25,-15.386,0,4,10,1,0,0,0.98,0.0197,371
33,11,-12.915,0,3,8,1,0,0,0.979,0.0197,382
34,10,-13.217,0,2,5,1,0,0,0.979,0.0196,392
35,13,-13.353,0,2,5,1,0,0,0.978,0.0196,405
36,8,-11.933,0,2,2,1,0,0,0.977,0.0196,413
37,8,-13.595,0,4,6,1,0,0,0.977,0.0196,421
38,9,-12.991,0,3,3,1,0,0,0.976,0.0196,430
39,8,-13.268,0,2,5,1,0,0,0.975,0.0196,438
40,5,-13.624,0,2,4,1,0,0,0.975,0.0196,443
41,8,-12.908,0,3,3,1,0,0,0.974,0.0196,451
42,5,-13.222,0,4,2,1,0,0,0.973,0.0196,456
43,15,-13.771,0,2,10,1,0,0,0.973,0.0196,471
44,6,-12.439,0,2,3,1,0,0,0.972,0.0195,477
45,8,-13.645,0,2,4,1,0,0,0.972,0.0195,485
46,9,-13.217,0,1,3,1,0,0,0.971,0.0195,494
47,8,-9.706,0,3,3,1,0,0,0.97,0.0195,502
48,5,-13.864,0,3,2,1,0,0,0.97,0.0195,507
49,7,-13.103,0,2,5,1,0,0,0.969,0.0195,514
50,7,-13.284,0,3,0,1,0,0,0.968,0.0195,521
51,22,-13.088,0,9,9,1,0,0,0.968,0.0195,543
52,5,-13.352,0,3,3,1,0,0,0.967,0.0195,548
53,18,-14.303,0,3,9,1,0,0,0.966,0.0194,566
54,25,-14.39,0,2,13,1,0,0,0.966,0.0194,591
55,15,-13.422,0,3,6,1,0,0,0.965,0.0194,606
56,5,-13.451,0,3,3,1,0,0,0.964,0.0194,611
57,5,-13.752,0,4,3,1,0,0,0.964,0.0194,616
58,6,-12.909,0,3,3,1,0,0,0.963,0.0194,622
59,10,-12.69,0,2,5,1,0,0,0.962,0.0194,632
60,7,-14.069,0,2,3,1,0,0,0.962,0.0194,639
61,5,-13.374,0,3,3,1,0,0,0.961,0.0194,644
62,12,-13.845,0,3,6,1,0,0,0.961,0.0193,656
63,10,-13.286,0,2,5,1,0,0,0.96,0.0193,666
64,7,-13.219,0,3,1,1,0,0,0.959,0.0193,673
65,8,-12.917,0,3,3,1,0,0,0.959,0.0193,681
66,16,-13.832,0,4,7,1,0,0,0.958,0.0193,697
67,12,-13.396,0,2,6,1,0,0,0.957,0.0193,709
68,7,-13.152,0,2,4,1,0,0,0.957,0.0193,716
69,6,-13.436,0,3,3,1,0,0,0.956,0.0193,722
70,10,-13.137,0,3,5,1,0,0,0.955,0.0193,732
71,5,-13.402,0,3,3,1,0,0,0.955,0.0193,737
72,12,-13.286,0,2,4,1,0,0,0.954,0.0192,749
73,7,-13.319,0,4,3,1,0,0,0.953,0.0192,756
74,14,-14.154,0,3,9,1,0,0,0.953,0.0192,770
75,23,-12.237,0,6,8,1,0,0,0.952,0.0192,793
76,5,-13.294,0,2,1,1,0,0,0.952,0.0192,798
77,7,-13.123,0,1,3,1,0,0,0.951,0.0192,805
78,18,-13.985,0,3,12,1,0,0,0.95,0.0192,823
79,9,-13.162,0,3,6,1,0,0,0.95,0.0192,832
80,6,-13.959,0,3,3,1,0,0,0.949,0.0192,838
81,18,-13.98,0,2,11,1,0,0,0.948,0.0191,856
82,15,-12.78,0,5,8,1,0,0,0.948,0.0191,871
83,8,-14.045,0,3,4,1,0,0,0.947,0.0191,879
84,12,-12.477,0,3,2,1,0,0,0.946,0.0191,891
85,25,-13.144,0,7,11,1,0,0,0.946,0.0191,916
86,5,-13.444,0,3,3,1,0,0,0.945,0.0191,921
87,6,-13.067,0,2,4,1,0,0,0.944,0.0191,927
88,9,-13.252,0,2,5,1,0,0,0.944,0.0191,936
89,9,-12.577,0,2,4,1,0,0,0.943,0.0191,945
90,7,-13.055,0,2,4,1,0,0,0.942,0.0191,952
91,8,-12.412,0,3,3,1,0,0,0.942,0.019,960
92,5,-13.822,0,3,2,1,0,0,0.941,0.019,965
93,23,-14.674,0,5,10,1,0,0,0.941,0.019,988
94,6,-13.429,0,3,3,1,0,0,0.94,0.019,994
95,5,-13.694,0,4,2,1,0,0,0.939,0.019,999
96,8,-13.22,0,2,5,1,0,0,0.939,0.019,1007
97,7,-13.253,0,1,5,1,0,0,0.938,0.019,1014
98,8,-12.542,0,3,4,1,0,0,0.937,0.019,1022
99,10,-13.477,0,2,8,1,0,0,0.937,0.019,1032
100,6,-12.391,0,2,3,1,0,0,0.936,0.0189,1038
101,23,-14.909,0,4,10,1,0,0,0.935,0.0189,1061
102,9,-14.935,0,1,5,1,0,0,0.935,0.0189,1070
103,12,-14.365,0,3,6,1,0,0,0.934,0.0189,1082
104,11,-13.391,0,2,6,1,0,0,0.933,0.0189,1093
105,20,-13.885,0,3,11,1,0,0,0.933,0.0189,1113
106,6,-12.968,0,2,3,1,0,0,0.932,0.0189,1119
107,6,-13.139,0,2,4,1,0,0,0.931,0.0189,1125
108,9,-12.575,0,3,4,1,0,0,0.931,0.0189,1134
109,10,-13.297,0,3,7,1,0,0,0.93,0.0188,1144
110,7,-13.132,0,2,5,1,0,0,0.93,0.0188,1151
111,6,-14.085,0,2,3,1,0,0,0.929,0.0188,1157
112,8,-14.016,0,3,3,1,0,0,0.928,0.0188,1165
113,10,-13.693,0,4,7,1,0,0,0.928,0.0188,1175
114,10,-13.087,0,3,5,1,0,0,0.927,0.0188,1185
115,8,-13.087,0,2,4,1,0,0,0.926,0.0188,1193
116,6,-13.285,0,4,3,1,0,0,0.926,0.0188,1199
117,6,-13.117,0,2,4,1,0,0,0.925,0.0188,1205
118,7,-13.513,0,3,3,1,0,0,0.924,0.0188,1212
119,8,-13.407,0,3,2,1,0,0,0.924,0.0187,1220
120,17,-12.659,0,6,7,1,0,0,0.923,0.0187,1237
121,10,-13.594,0,4,5,1,0,0,0.922,0.0187,1247
122,5,-14.35,0,4,3,1,0,0,0.922,0.0187,1252
123,10,-13.582,0,4,5,1,0,0,0.921,0.0187,1262
124,18,-11.255,0,9,6,1,0,0,0.92,0.0187,1280
125,14,-13.645,0,2,9,1,0,0,0.92,0.0187,1294
126,5,-13.995,0,2,2,1,0,0,0.919,0.0187,1299
127,19,-13.542,0,3,7,1,0,0,0.919,0.0187,1318
128,10,-12.849,0,3,7,1,0,0,0.918,0.0186,1328
129,17,-15.069,0,1,5,1,0,0,0.917,0.0186,1345
130,9,-14.052,0,3,4,1,0,0,0.917,0.0186,1354
131,11,-13.5,0,2,7,1,0,0,0.916,0.0186,1365
132,8,-13.067,0,3,5,1,0,0,0.915,0.0186,1373
133,18,-13.596,0,3,8,1,0,0,0.915,0.0186,1391
134,11,-13.54,0,2,9,1,0,0,0.914,0.0186,1402
135,30,-14.343,0,5,16,1,0,0,0.913,0.0186,1432
136,16,-12.839,0,3,6,1,0,0,0.913,0.0186,1448
137,21,-14.082,0,4,8,1,0,0,0.912,0.0185,1469
138,10,-13.3,0,3,7,1,0,0,0.911,0.0185,1479
139,5,-13.495,0,2,2,1,0,0,0.911,0.0185,1484
140,51,-14.556,0,5,19,1,0,0,0.91,0.0185,1535
141,9,-13.498,0,3,3,1,0,0,0.909,0.0185,1544
