episode,steps,total_reward,coins,crates,invalid,killed_self,killed_opponents,survived,epsilon,alpha,buffer
1,9,-14.502,0,3,7,1,0,0,1.0,0.02,9
2,9,-13.217,0,2,4,1,0,0,0.999,0.02,18
3,9,-12.882,0,3,3,1,0,0,0.999,0.02,27
4,11,-12.936,0,2,7,1,0,0,0.998,0.02,38
5,31,-13.604,0,6,18,1,0,0,0.997,0.02,69
6,8,-12.987,0,3,3,1,0,0,0.997,0.0199,77
7,7,-12.676,0,3,3,1,0,0,0.996,0.0199,84
8,19,-14.397,0,4,12,1,0,0,0.995,0.0199,103
9,40,-14.649,0,6,19,1,0,0,0.995,0.0199,143
10,7,-13.232,0,1,5,1,0,0,0.994,0.0199,150
11,10,-13.196,0,3,5,1,0,0,0.994,0.0199,160
12,11,-12.308,0,6,6,1,0,0,0.993,0.0199,171
13,6,-13.515,0,4,4,1,0,0,0.992,0.0199,177
14,8,-9.694,0,2,1,1,0,0,0.992,0.0199,185
15,6,-12.542,0,1,3,1,0,0,0.991,0.0199,191
16,6,-13.215,0,4,4,1,0,0,0.99,0.0198,197
17,8,-12.947,0,3,5,1,0,0,0.99,0.0198,205
18,10,-13.739,0,1,9,1,0,0,0.989,0.0198,215
19,11,-13.043,0,3,4,1,0,0,0.988,0.0198,226
20,8,-13.704,0,3,3,1,0,0,0.988,0.0198,234
21,10,-13.493,0,4,5,1,0,0,0.987,0.0198,244
22,8,-12.996,0,4,5,1,0,0,0.986,0.0198,252
23,13,-14.449,0,3,6,1,0,0,0.986,0.0198,265
24,7,-12.852,0,3,4,1,0,0,0.985,0.0198,272
25,14,-13.654,0,2,9,1,0,0,0.984,0.0197,286
26,7,-13.133,0,3,5,1,0,0,0.984,0.0197,293
27,53,-16.146,0,5,30,1,0,0,0.983,0.0197,346
28,6,-13.366,0,3,4,1,0,0,0.983,0.0197,352
29,12,-13.1,0,3,6,1,0,0,0.982,0.0197,364
30,5,-13.175,0,3,2,1,0,0,0.981,0.0197,369
31,14,-13.629,0,3,4,1,0,0,0.981,0.0197,383
32,25,-13.591,0,5,12,1,0,0,0.98,0.0197,408
33,10,-13.445,0,2,7,1,0,0,0.979,0.0197,418
34,6,-13.085,0,4,3,1,0,0,0.979,0.0196,424
35,12,-13.576,0,1,7,1,0,0,0.978,0.0196,436
36,5,-13.415,0,3,1,1,0,0,0.977,0.0196,441
37,15,-12.929,0,5,5,1,0,0,0.977,0.0196,456
38,16,-10.705,0,2,7,1,0,0,0.976,0.0196,472
