episode,steps,total_reward,coins,crates,invalid,killed_self,killed_opponents,survived,epsilon,alpha,buffer
1,6,-13.306,0,2,2,1,0,0,1.0,0.02,6
2,6,-13.306,0,2,2,1,0,0,0.999,0.02,12
3,9,-13.208,0,2,5,1,0,0,0.999,0.02,21
4,20,-10.444,0,3,11,1,0,0,0.998,0.02,41
5,9,-12.893,0,3,3,1,0,0,0.997,0.02,50
6,14,-13.022,0,3,8,1,0,0,0.997,0.0199,64
7,5,-13.774,0,4,3,1,0,0,0.996,0.0199,69
8,6,-13.067,0,2,4,1,0,0,0.995,0.0199,75
9,7,-9.812,0,2,1,1,0,0,0.995,0.0199,82
10,12,-12.921,0,2,7,1,0,0,0.994,0.0199,94
11,6,-13.086,0,4,3,1,0,0,0.994,0.0199,100
12,18,-13.745,0,3,9,1,0,0,0.993,0.0199,118
13,6,-13.286,0,3,3,1,0,0,0.992,0.0199,124
14,18,-10.452,0,2,7,1,0,0,0.992,0.0199,142
15,7,-12.952,0,3,4,1,0,0,0.991,0.0199,149
16,7,-13.152,0,1,4,1,0,0,0.99,0.0198,156
17,9,-13.131,0,3,6,1,0,0,0.99,0.0198,165
18,15,-13.881,0,3,7,1,0,0,0.989,0.0198,180
19,16,-13.62,0,1,6,1,0,0,0.988,0.0198,196
20,22,-14.4,0,3,11,1,0,0,0.988,0.0198,218
21,11,-13.443,0,1,6,1,0,0,0.987,0.0198,229
22,17,-13.959,0,2,6,1,0,0,0.986,0.0198,246
23,7,-13.7,0,3,4,1,0,0,0.986,0.0198,253
24,37,-14.617,0,3,17,1,0,0,0.985,0.0198,290
25,6,-13.839,0,3,5,1,0,0,0.984,0.0197,296
26,15,-13.511,0,2,6,1,0,0,0.984,0.0197,311
27,6,-13.067,0,2,4,1,0,0,0.983,0.0197,317
28,7,-12.852,0,3,3,1,0,0,0.983,0.0197,324
29,21,-14.566,0,1,11,1,0,0,0.982,0.0197,345
30,5,-13.574,0,3,3,1,0,0,0.981,0.0197,350
31,12,-13.136,0,2,3,1,0,0,0.981,0.0197,362
32,5,-13.092,0,3,1,1,0,0,0.98,0.0197,367
33,8,-13.763,0,3,5,1,0,0,0.979,0.0197,375
34,6,-12.918,0,3,4,1,0,0,0.979,0.0196,381
35,8,-12.639,0,2,4,1,0,0,0.978,0.0196,389
36,6,-12.39,0,2,3,1,0,0,0.977,0.0196,395
37,8,-13.827,0,3,4,1,0,0,0.977,0.0196,403
38,20,-14.521,0,2,9,1,0,0,0.976,0.0196,423
39,17,-13.439,0,4,8,1,0,0,0.975,0.0196,440
40,7,-13.182,0,2,5,1,0,0,0.975,0.0196,447
41,8,-12.412,0,3,3,1,0,0,0.974,0.0196,455
42,5,-12.875,0,2,3,1,0,0,0.973,0.0196,460
43,28,-14.8,0,3,10,1,0,0,0.973,0.0196,488
44,5,-13.22,0,2,1,1,0,0,0.972,0.0195,493
45,18,-13.547,0,3,9,1,0,0,0.972,0.0195,511
46,5,-13.391,0,3,1,1,0,0,0.971,0.0195,516
47,18,-13.928,0,2,10,1,0,0,0.97,0.0195,534
48,10,-12.689,0,2,5,1,0,0,0.97,0.0195,544
49,5,-13.52,0,3,2,1,0,0,0.969,0.0195,549
50,13,-12.823,0,3,6,1,0,0,0.968,0.0195,562
51,8,-13.175,0,4,2,1,0,0,0.968,0.0195,570
52,8,-12.785,0,2,1,1,0,0,0.967,0.0195,578
53,11,-13.181,0,3,5,1,0,0,0.966,0.0194,589
54,8,-13.117,0,2,5,1,0,0,0.966,0.0194,597
55,16,-13.201,0,3,10,1,0,0,0.965,0.0194,613
56,13,-14.134,0,4,8,1,0,0,0.964,0.0194,626
57,7,-13.002,0,3,4,1,0,0,0.964,0.0194,633
58,10,-13.338,0,2,5,1,0,0,0.963,0.0194,643
59,12,-13.614,0,3,5,1,0,0,0.962,0.0194,655
60,19,-14.388,0,4,9,1,0,0,0.962,0.0194,674
61,13,-14.236,0,3,8,1,0,0,0.961,0.0194,687
62,6,-13.459,0,3,4,1,0,0,0.961,0.0193,693
63,5,-13.274,0,3,3,1,0,0,0.96,0.0193,698
64,14,-13.521,0,2,7,1,0,0,0.959,0.0193,712
65,6,-13.466,0,2,4,1,0,0,0.959,0.0193,718
66,8,-12.409,0,3,3,1,0,0,0.958,0.0193,726
67,6,-13.205,0,3,2,1,0,0,0.957,0.0193,732
68,35,-15.643,0,3,22,1,0,0,0.957,0.0193,767
69,9,-13.822,0,2,3,1,0,0,0.956,0.0193,776
70,11,-13.459,0,2,7,1,0,0,0.955,0.0193,787
71,6,-13.179,0,3,2,1,0,0,0.955,0.0193,793
72,13,-13.409,0,3,7,1,0,0,0.954,0.0192,806
73,16,-13.805,0,2,10,1,0,0,0.953,0.0192,822
74,5,-13.544,0,3,2,1,0,0,0.953,0.0192,827
75,11,-13.102,0,3,5,1,0,0,0.952,0.0192,838
76,11,-13.647,0,4,4,1,0,0,0.952,0.0192,849
77,6,-13.336,0,3,3,1,0,0,0.951,0.0192,855
78,6,-13.614,0,4,4,1,0,0,0.95,0.0192,861
79,6,-13.539,0,3,5,1,0,0,0.95,0.0192,867
80,6,-13.205,0,3,2,1,0,0,0.949,0.0192,873
81,7,-13.399,0,3,4,1,0,0,0.948,0.0191,880
82,5,-14.075,0,3,4,1,0,0,0.948,0.0191,885
83,5,-13.521,0,3,2,1,0,0,0.947,0.0191,890
84,18,-13.735,0,3,10,1,0,0,0.946,0.0191,908
85,6,-13.765,0,2,4,1,0,0,0.946,0.0191,914
86,15,-13.54,0,2,7,1,0,0,0.945,0.0191,929
87,21,-14.008,0,2,11,1,0,0,0.944,0.0191,950
88,9,-13.459,0,3,5,1,0,0,0.944,0.0191,959
89,5,-13.572,0,3,2,1,0,0,0.943,0.0191,964
90,13,-13.41,0,3,7,1,0,0,0.942,0.0191,977
91,11,-12.981,0,3,4,1,0,0,0.942,0.019,988
92,12,-13.447,0,1,6,1,0,0,0.941,0.019,1000
93,17,-13.565,0,1,6,1,0,0,0.941,0.019,1017
94,11,-12.654,0,2,4,1,0,0,0.94,0.019,1028
95,5,-12.941,0,4,1,1,0,0,0.939,0.019,1033
96,20,-13.912,0,3,12,1,0,0,0.939,0.019,1053
97,11,-13.312,0,2,6,1,0,0,0.938,0.019,1064
98,13,-14.19,0,2,6,1,0,0,0.937,0.019,1077
99,6,-12.888,0,2,3,1,0,0,0.937,0.019,1083
100,5,-13.052,0,4,3,1,0,0,0.936,0.0189,1088
101,22,-13.912,0,3,11,1,0,0,0.935,0.0189,1110
102,6,-13.018,0,2,4,1,0,0,0.935,0.0189,1116
103,6,-13.179,0,3,2,1,0,0,0.934,0.0189,1122
104,59,-16.268,0,3,29,1,0,0,0.933,0.0189,1181
105,11,-12.931,0,5,5,1,0,0,0.933,0.0189,1192
106,5,-13.252,0,3,3,1,0,0,0.932,0.0189,1197
107,9,-13.052,0,3,5,1,0,0,0.931,0.0189,1206
108,5,-13.6,0,3,3,1,0,0,0.931,0.0189,1211
109,8,-13.117,0,3,5,1,0,0,0.93,0.0188,1219
110,8,-13.303,0,3,3,1,0,0,0.93,0.0188,1227
111,5,-12.921,0,2,2,1,0,0,0.929,0.0188,1232
112,7,-13.023,0,2,3,1,0,0,0.928,0.0188,1239
113,10,-9.705,0,3,2,1,0,0,0.928,0.0188,1249
114,18,-14.031,0,3,8,1,0,0,0.927,0.0188,1267
115,12,-13.098,0,3,6,1,0,0,0.926,0.0188,1279
116,5,-13.575,0,4,4,1,0,0,0.926,0.0188,1284
117,5,-13.114,0,4,2,1,0,0,0.925,0.0188,1289
118,6,-13.284,0,2,2,1,0,0,0.924,0.0188,1295
119,10,-12.239,0,5,3,1,0,0,0.924,0.0187,1305
120,5,-13.201,0,3,3,1,0,0,0.923,0.0187,1310
121,19,-14.111,0,2,8,1,0,0,0.922,0.0187,1329
122,10,-13.349,0,3,7,1,0,0,0.922,0.0187,1339
123,22,-10.889,0,3,12,1,0,0,0.921,0.0187,1361
124,17,-10.724,0,3,9,1,0,0,0.92,0.0187,1378
125,5,-13.15,0,4,3,1,0,0,0.92,0.0187,1383
126,19,-9.836,0,5,8,1,0,0,0.919,0.0187,1402
127,6,-12.967,0,2,4,1,0,0,0.919,0.0187,1408
128,15,-13.074,0,2,8,1,0,0,0.918,0.0186,1423
129,12,-12.457,0,4,4,1,0,0,0.917,0.0186,1435
130,7,-13.003,0,3,4,1,0,0,0.917,0.0186,1442
131,15,-14.217,0,4,8,1,0,0,0.916,0.0186,1457
132,35,-14.118,0,4,16,1,0,0,0.915,0.0186,1492
133,5,-13.7,0,2,3,1,0,0,0.915,0.0186,1497
134,14,-13.504,0,3,9,1,0,0,0.914,0.0186,1511
135,16,-14.162,0,4,8,1,0,0,0.913,0.0186,1527
136,7,-12.773,0,3,3,1,0,0,0.913,0.0186,1534
137,13,-13.687,0,3,6,1,0,0,0.912,0.0185,1547
138,6,-13.939,0,2,5,1,0,0,0.911,0.0185,1553
139,5,-13.551,0,4,3,1,0,0,0.911,0.0185,1558
140,12,-13.305,0,4,3,1,0,0,0.91,0.0185,1570
141,11,-13.062,0,3,5,1,0,0,0.909,0.0185,1581
142,7,-13.123,0,1,3,1,0,0,0.909,0.0185,1588
143,10,-13.939,0,3,5,1,0,0,0.908,0.0185,1598
144,6,-13.205,0,3,2,1,0,0,0.908,0.0185,1604
145,13,-13.839,0,4,8,1,0,0,0.907,0.0185,1617
146,6,-12.34,0,3,3,1,0,0,0.906,0.0185,1623
147,7,-12.643,0,3,1,1,0,0,0.906,0.0184,1630
148,17,-14.197,0,4,8,1,0,0,0.905,0.0184,1647
149,6,-13.184,0,4,3,1,0,0,0.904,0.0184,1653
150,9,-13.332,0,2,6,1,0,0,0.904,0.0184,1662
151,8,-13.168,0,2,4,1,0,0,0.903,0.0184,1670
152,8,-13.188,0,2,4,1,0,0,0.902,0.0184,1678
153,17,-13.638,0,4,9,1,0,0,0.902,0.0184,1695
154,9,-12.98,0,2,3,1,0,0,0.901,0.0184,1704
155,11,-13.48,0,3,5,1,0,0,0.9,0.0184,1715
156,19,-14.068,0,4,10,1,0,0,0.9,0.0183,1734
