episode,steps,total_reward,coins,crates,invalid,killed_self,killed_opponents,survived,epsilon,alpha,buffer
1,9,-14.052,0,2,5,1,0,0,1.0,0.02,72
2,29,-17.047,0,3,16,1,0,0,0.999,0.02,304
3,12,-14.149,0,4,8,1,0,0,0.999,0.02,400
4,5,-15.244,0,3,2,1,0,0,0.998,0.02,440
5,6,-15.179,0,3,2,1,0,0,0.997,0.02,488
6,5,-14.625,0,3,4,1,0,0,0.997,0.0199,528
7,6,-14.509,0,3,3,1,0,0,0.996,0.0199,576
8,7,-15.323,0,3,4,1,0,0,0.995,0.0199,632
9,18,-14.593,0,2,9,1,0,0,0.995,0.0199,776
10,19,-14.103,0,6,8,1,0,0,0.994,0.0199,928
11,5,-14.645,0,2,3,1,0,0,0.994,0.0199,968
12,7,-14.183,0,1,5,1,0,0,0.993,0.0199,1024
13,5,-15.301,0,2,2,1,0,0,0.992,0.0199,1064
14,7,-15.18,0,4,3,1,0,0,0.992,0.0199,1120
15,6,-14.789,0,2,4,1,0,0,0.991,0.0199,1168
16,15,-13.872,0,1,9,1,0,0,0.99,0.0198,1288
17,11,-13.154,0,3,3,1,0,0,0.99,0.0198,1376
18,10,-15.575,0,3,6,1,0,0,0.989,0.0198,1456
19,8,-14.604,0,3,3,1,0,0,0.988,0.0198,1520
20,19,-13.641,0,5,10,1,0,0,0.988,0.0198,1672
21,14,-14.285,0,3,8,1,0,0,0.987,0.0198,1784
22,14,-13.599,0,2,7,1,0,0,0.986,0.0198,1896
23,7,-14.003,0,2,4,1,0,0,0.986,0.0198,1952
24,7,-13.818,0,1,2,1,0,0,0.985,0.0198,2008
25,12,-14.325,0,2,7,1,0,0,0.984,0.0197,2104
26,5,-15.151,0,4,3,1,0,0,0.984,0.0197,2144
27,8,-13.916,0,3,4,1,0,0,0.983,0.0197,2208
28,6,-15.079,0,4,2,1,0,0,0.983,0.0197,2256
29,5,-15.084,0,3,1,1,0,0,0.982,0.0197,2296
30,10,-14.614,0,4,4,1,0,0,0.981,0.0197,2376
31,6,-14.454,0,3,2,1,0,0,0.981,0.0197,2424
32,9,-13.581,0,4,2,1,0,0,0.98,0.0197,2496
33,5,-14.321,0,4,2,1,0,0,0.979,0.0197,2536
34,31,-14.37,1,7,13,1,0,0,0.979,0.0196,2784
35,7,-15.603,0,3,6,1,0,0,0.978,0.0196,2840
36,30,-15.271,0,5,10,1,0,0,0.977,0.0196,3080
37,13,-13.272,0,2,4,1,0,0,0.977,0.0196,3184
38,8,-13.886,0,3,4,1,0,0,0.976,0.0196,3248
39,7,-13.852,0,3,4,1,0,0,0.975,0.0196,3304
40,14,-13.669,0,1,6,1,0,0,0.975,0.0196,3416
41,5,-14.502,0,3,3,1,0,0,0.974,0.0196,3456
42,10,-14.086,0,1,4,1,0,0,0.973,0.0196,3536
43,8,-12.96,0,3,3,1,0,0,0.973,0.0196,3600
44,5,-14.294,0,2,0,1,0,0,0.972,0.0195,3640
45,8,-15.395,0,4,6,1,0,0,0.972,0.0195,3704
46,10,-15.617,0,3,6,1,0,0,0.971,0.0195,3784
47,5,-14.322,0,4,2,1,0,0,0.97,0.0195,3824
48,9,-14.679,0,3,4,1,0,0,0.97,0.0195,3896
49,7,-13.832,0,3,5,1,0,0,0.969,0.0195,3952
50,19,-13.605,0,4,6,1,0,0,0.968,0.0195,4104
51,6,-14.566,0,3,4,1,0,0,0.968,0.0195,4152
52,16,-15.022,0,3,7,1,0,0,0.967,0.0195,4280
53,6,-14.416,0,4,4,1,0,0,0.966,0.0194,4328
54,10,-14.135,0,2,5,1,0,0,0.966,0.0194,4408
55,10,-16.336,0,4,6,1,0,0,0.965,0.0194,4488
56,6,-12.909,0,3,3,1,0,0,0.964,0.0194,4536
57,7,-14.551,0,2,2,1,0,0,0.964,0.0194,4592
58,12,-14.947,0,3,7,1,0,0,0.963,0.0194,4688
59,10,-15.525,0,4,6,1,0,0,0.962,0.0194,4768
60,11,-14.135,0,3,7,1,0,0,0.962,0.0194,4856
61,11,-14.019,0,3,5,1,0,0,0.961,0.0194,4944
62,10,-15.466,0,3,4,1,0,0,0.961,0.0193,5024
63,19,-15.759,0,4,15,1,0,0,0.96,0.0193,5176
64,16,-13.469,0,2,5,1,0,0,0.959,0.0193,5304
65,13,-14.383,0,2,8,1,0,0,0.959,0.0193,5408
66,6,-12.014,0,3,3,1,0,0,0.958,0.0193,5456
67,8,-13.14,0,2,4,1,0,0,0.957,0.0193,5520
68,21,-14.994,0,2,9,1,0,0,0.957,0.0193,5688
69,9,-12.955,0,3,3,1,0,0,0.956,0.0193,5760
70,9,-14.539,0,4,3,1,0,0,0.955,0.0193,5832
71,5,-13.695,0,3,3,1,0,0,0.955,0.0193,5872
72,7,-13.091,0,1,2,1,0,0,0.954,0.0192,5928
73,8,-14.614,0,3,3,1,0,0,0.953,0.0192,5992
74,7,-16.08,0,4,5,1,0,0,0.953,0.0192,6048
75,5,-15.05,0,4,3,1,0,0,0.952,0.0192,6088
76,11,-14.021,0,3,5,1,0,0,0.952,0.0192,6176
77,10,-14.744,0,3,5,1,0,0,0.951,0.0192,6256
78,15,-14.13,0,3,5,1,0,0,0.95,0.0192,6376
79,26,-15.072,0,4,12,1,0,0,0.95,0.0192,6584
80,9,-15.579,0,3,6,1,0,0,0.949,0.0192,6656
81,7,-14.75,0,2,4,1,0,0,0.948,0.0191,6712
82,7,-12.817,0,3,1,1,0,0,0.948,0.0191,6768
83,7,-13.953,0,2,4,1,0,0,0.947,0.0191,6824
84,11,-13.832,0,6,6,1,0,0,0.946,0.0191,6912
85,11,-13.821,0,4,4,1,0,0,0.946,0.0191,7000
86,8,-13.967,0,3,5,1,0,0,0.945,0.0191,7064
87,6,-13.936,0,1,3,1,0,0,0.944,0.0191,7112
88,6,-13.74,0,3,3,1,0,0,0.944,0.0191,7160
89,24,-15.038,0,3,12,1,0,0,0.943,0.0191,7352
90,9,-15.302,0,4,4,1,0,0,0.942,0.0191,7424
91,5,-13.744,0,3,3,1,0,0,0.942,0.019,7464
92,22,-12.86,0,4,8,1,0,0,0.941,0.019,7640
93,12,-14.803,0,4,6,1,0,0,0.941,0.019,7736
94,7,-14.83,0,2,5,1,0,0,0.94,0.019,7792
95,18,-13.527,0,5,7,1,0,0,0.939,0.019,7936
96,9,-14.68,0,3,4,1,0,0,0.939,0.019,8008
97,10,-13.069,0,4,5,1,0,0,0.938,0.019,8088
98,9,-14.039,0,1,3,1,0,0,0.937,0.019,8160
99,15,-14.276,0,4,6,1,0,0,0.937,0.019,8280
100,10,-14.197,0,3,7,1,0,0,0.936,0.0189,8360
101,15,-14.9,0,6,7,1,0,0,0.935,0.0189,8480
102,8,-10.533,0,2,1,1,0,0,0.935,0.0189,8544
103,6,-12.912,0,3,2,1,0,0,0.934,0.0189,8592
104,39,-15.534,0,8,15,1,0,0,0.933,0.0189,8904
105,35,-17.173,0,4,15,1,0,0,0.933,0.0189,9184
106,6,-13.785,0,2,2,1,0,0,0.932,0.0189,9232
107,9,-14.1,0,2,5,1,0,0,0.931,0.0189,9304
108,6,-12.782,0,3,1,1,0,0,0.931,0.0189,9352
109,7,-15.37,0,2,3,1,0,0,0.93,0.0188,9408
110,7,-15.399,0,3,4,1,0,0,0.93,0.0188,9464
111,5,-15.095,0,3,1,1,0,0,0.929,0.0188,9504
112,9,-13.973,0,2,4,1,0,0,0.928,0.0188,9576
113,5,-15.042,0,3,1,1,0,0,0.928,0.0188,9616
114,5,-15.144,0,3,1,1,0,0,0.927,0.0188,9656
115,5,-14.17,0,3,0,1,0,0,0.926,0.0188,9696
116,9,-14.002,0,3,5,1,0,0,0.926,0.0188,9768
