episode,steps,total_reward,coins,crates,invalid,killed_self,killed_opponents,survived,epsilon,alpha,buffer
1,5,-14.897,0,4,3,1,0,0,1.0,0.02,5
2,17,-13.032,0,4,6,1,0,0,1.0,0.02,22
3,6,-14.256,0,2,4,1,0,0,0.999,0.02,28
4,11,-11.854,0,3,3,1,0,0,0.999,0.02,39
5,6,-13.108,0,3,4,1,0,0,0.998,0.02,45
6,9,-13.071,0,3,4,1,0,0,0.998,0.02,54
7,18,-14.124,0,3,6,1,0,0,0.997,0.02,72
8,20,-15.982,0,4,7,1,0,0,0.997,0.0199,92
9,26,-16.221,0,5,10,1,0,0,0.996,0.0199,118
10,17,-14.982,0,3,9,1,0,0,0.996,0.0199,135
11,12,-13.844,0,4,5,1,0,0,0.995,0.0199,147
12,25,-15.836,0,3,15,1,0,0,0.995,0.0199,172
13,5,-14.63,0,2,3,1,0,0,0.994,0.0199,177
14,14,-15.221,0,2,8,1,0,0,0.994,0.0199,191
15,12,-15.282,0,2,5,1,0,0,0.993,0.0199,203
16,9,-15.022,0,3,3,1,0,0,0.993,0.0199,212
17,9,-14.886,0,2,5,1,0,0,0.992,0.0199,221
18,21,-15.828,0,2,13,1,0,0,0.992,0.0199,242
19,8,-14.893,0,3,5,1,0,0,0.991,0.0199,250
20,15,-16.203,0,3,8,1,0,0,0.991,0.0198,265
21,8,-14.727,0,2,4,1,0,0,0.991,0.0198,273
22,7,-11.545,0,2,1,1,0,0,0.99,0.0198,280
23,23,-15.691,0,2,12,1,0,0,0.99,0.0198,303
24,21,-14.056,0,5,14,1,0,0,0.989,0.0198,324
25,7,-14.357,0,3,1,1,0,0,0.989,0.0198,331
26,9,-14.81,0,3,7,1,0,0,0.988,0.0198,340
27,16,-15.055,0,3,7,1,0,0,0.988,0.0198,356
28,5,-14.995,0,3,3,1,0,0,0.987,0.0198,361
29,14,-15.095,0,3,9,1,0,0,0.987,0.0198,375
30,11,-12.984,0,3,6,1,0,0,0.986,0.0198,386
31,20,-15.615,0,3,11,1,0,0,0.986,0.0198,406
32,13,-12.044,0,2,4,1,0,0,0.985,0.0198,419
33,13,-15.005,0,2,6,1,0,0,0.985,0.0197,432
34,5,-14.919,0,4,3,1,0,0,0.984,0.0197,437
35,14,-15.038,0,2,7,1,0,0,0.984,0.0197,451
36,6,-14.524,0,3,3,1,0,0,0.983,0.0197,457
37,5,-13.272,0,4,2,1,0,0,0.983,0.0197,462
38,19,-15.415,0,2,9,1,0,0,0.982,0.0197,481
39,10,-14.198,0,3,4,1,0,0,0.982,0.0197,491
40,8,-15.585,0,3,3,1,0,0,0.981,0.0197,499
41,22,-15.501,0,2,10,1,0,0,0.981,0.0197,521
42,40,-15.675,0,4,11,1,0,0,0.981,0.0197,561
43,6,-13.381,0,4,3,1,0,0,0.98,0.0197,567
44,21,-16.378,0,3,8,1,0,0,0.98,0.0197,588
45,10,-14.54,0,2,7,1,0,0,0.979,0.0196,598
46,11,-15.306,0,4,5,1,0,0,0.979,0.0196,609
47,5,-13.825,0,3,3,1,0,0,0.978,0.0196,614
48,16,-14.67,0,2,8,1,0,0,0.978,0.0196,630
49,11,-14.929,0,3,7,1,0,0,0.977,0.0196,641
50,20,-15.639,0,0,7,1,0,0,0.977,0.0196,661
51,5,-13.102,0,1,2,1,0,0,0.976,0.0196,666
52,6,-13.63,0,1,2,1,0,0,0.976,0.0196,672
53,10,-14.924,0,1,5,1,0,0,0.975,0.0196,682
54,9,-14.917,0,2,5,1,0,0,0.975,0.0196,691
55,7,-12.943,0,2,2,1,0,0,0.974,0.0196,698
56,8,-14.718,0,2,5,1,0,0,0.974,0.0196,706
57,20,-16.142,0,1,11,1,0,0,0.973,0.0196,726
58,5,-14.051,0,2,3,1,0,0,0.973,0.0195,731
59,5,-13.572,0,1,2,1,0,0,0.972,0.0195,736
60,5,-14.095,0,2,3,1,0,0,0.972,0.0195,741
61,5,-15.392,0,4,3,1,0,0,0.972,0.0195,746
62,22,-15.596,0,6,11,1,0,0,0.971,0.0195,768
63,7,-12.934,0,3,2,1,0,0,0.971,0.0195,775
64,8,-13.854,0,3,2,1,0,0,0.97,0.0195,783
65,8,-15.727,0,4,5,1,0,0,0.97,0.0195,791
66,12,-13.371,0,0,6,1,0,0,0.969,0.0195,803
67,5,-14.419,0,2,3,1,0,0,0.969,0.0195,808
68,7,-15.227,0,2,4,1,0,0,0.968,0.0195,815
69,14,-13.439,0,2,6,1,0,0,0.968,0.0195,829
70,8,-14.837,0,3,6,1,0,0,0.967,0.0194,837
71,19,-14.697,0,3,9,1,0,0,0.967,0.0194,856
72,11,-13.29,0,2,4,1,0,0,0.966,0.0194,867
73,7,-14.36,0,3,5,1,0,0,0.966,0.0194,874
74,7,-14.287,0,2,4,1,0,0,0.965,0.0194,881
75,21,-14.427,0,5,12,1,0,0,0.965,0.0194,902
76,28,-14.447,0,3,14,1,0,0,0.964,0.0194,930
77,7,-11.431,0,2,2,1,0,0,0.964,0.0194,937
78,10,-12.994,0,3,3,1,0,0,0.963,0.0194,947
79,9,-13.462,0,2,6,1,0,0,0.963,0.0194,956
80,5,-14.917,0,3,2,1,0,0,0.962,0.0194,961
81,5,-13.845,0,2,1,1,0,0,0.962,0.0194,966
82,7,-15.138,0,2,4,1,0,0,0.962,0.0194,973
83,7,-14.214,0,3,5,1,0,0,0.961,0.0193,980
84,31,-15.27,0,3,10,1,0,0,0.961,0.0193,1011
85,17,-15.179,0,2,7,1,0,0,0.96,0.0193,1028
86,5,-14.934,0,4,3,1,0,0,0.96,0.0193,1033
87,27,-16.19,0,3,14,1,0,0,0.959,0.0193,1060
88,8,-13.715,0,3,5,1,0,0,0.959,0.0193,1068
89,5,-13.46,0,3,2,1,0,0,0.958,0.0193,1073
90,9,-15.025,0,4,4,1,0,0,0.958,0.0193,1082
91,32,-16.43,0,4,17,1,0,0,0.957,0.0193,1114
92,11,-15.017,0,2,6,1,0,0,0.957,0.0193,1125
93,5,-13.675,0,1,3,1,0,0,0.956,0.0193,1130
94,10,-14.81,0,3,6,1,0,0,0.956,0.0193,1140
95,22,-15.634,0,3,12,1,0,0,0.955,0.0192,1162
96,14,-14.002,0,3,6,1,0,0,0.955,0.0192,1176
97,6,-13.945,0,1,4,1,0,0,0.954,0.0192,1182
98,17,-13.589,0,3,8,1,0,0,0.954,0.0192,1199
99,7,-14.748,0,1,4,1,0,0,0.953,0.0192,1206
100,7,-11.93,0,6,3,1,0,0,0.953,0.0192,1213
101,27,-13.444,0,4,11,1,0,0,0.953,0.0192,1240
102,16,-15.197,0,1,7,1,0,0,0.952,0.0192,1256
103,9,-14.04,0,3,3,1,0,0,0.952,0.0192,1265
104,7,-13.723,0,3,5,1,0,0,0.951,0.0192,1272
105,21,-14.969,0,3,7,1,0,0,0.951,0.0192,1293
106,5,-15.065,0,3,3,1,0,0,0.95,0.0192,1298
107,5,-15.416,0,3,2,1,0,0,0.95,0.0192,1303
108,6,-13.575,0,3,3,1,0,0,0.949,0.0191,1309
109,6,-15.454,0,4,3,1,0,0,0.949,0.0191,1315
110,5,-14.867,0,3,2,1,0,0,0.948,0.0191,1320
111,5,-14.989,0,2,2,1,0,0,0.948,0.0191,1325
112,6,-14.427,0,3,2,1,0,0,0.947,0.0191,1331
113,6,-13.126,0,2,3,1,0,0,0.947,0.0191,1337
114,7,-12.612,0,2,3,1,0,0,0.946,0.0191,1344
115,7,-14.622,0,2,3,1,0,0,0.946,0.0191,1351
116,8,-14.649,0,1,3,1,0,0,0.945,0.0191,1359
117,8,-12.064,0,2,4,1,0,0,0.945,0.0191,1367
118,21,-15.304,0,3,10,1,0,0,0.944,0.0191,1388
119,17,-13.492,0,4,4,1,0,0,0.944,0.0191,1405
120,5,-14.62,0,2,4,1,0,0,0.943,0.019,1410
121,6,-13.644,0,4,4,1,0,0,0.943,0.019,1416
122,7,-14.001,0,3,4,1,0,0,0.943,0.019,1423
123,5,-13.452,0,3,3,1,0,0,0.942,0.019,1428
124,10,-14.167,0,2,3,1,0,0,0.942,0.019,1438
125,5,-15.551,0,2,3,1,0,0,0.941,0.019,1443
126,6,-12.402,0,3,2,1,0,0,0.941,0.019,1449
127,5,-13.764,0,2,1,1,0,0,0.94,0.019,1454
