episode,steps,total_reward,coins,crates,invalid,killed_self,killed_opponents,survived,epsilon,alpha,buffer
1,6,-14.884,0,4,3,1,0,0,1.0,0.02,6
2,10,-15.155,0,4,4,1,0,0,1.0,0.02,16
3,5,-14.396,0,3,3,1,0,0,0.999,0.02,21
4,14,-13.965,0,3,7,1,0,0,0.999,0.02,35
5,7,-15.05,0,3,4,1,0,0,0.998,0.02,42
6,5,-15.394,0,3,2,1,0,0,0.998,0.02,47
7,9,-14.947,0,2,6,1,0,0,0.997,0.02,56
8,19,-14.194,0,2,8,1,0,0,0.997,0.0199,75
9,16,-13.245,0,5,6,1,0,0,0.996,0.0199,91
10,5,-14.996,0,3,3,1,0,0,0.996,0.0199,96
11,5,-15.267,0,4,2,1,0,0,0.995,0.0199,101
12,6,-14.099,0,4,4,1,0,0,0.995,0.0199,107
13,5,-15.229,0,2,3,1,0,0,0.994,0.0199,112
14,29,-14.762,0,3,9,1,0,0,0.994,0.0199,141
15,20,-17.087,0,4,12,1,0,0,0.993,0.0199,161
16,5,-14.464,0,1,1,1,0,0,0.993,0.0199,166
17,12,-14.44,0,2,6,1,0,0,0.992,0.0199,178
18,5,-15.495,0,3,3,1,0,0,0.992,0.0199,183
19,5,-15.316,0,4,2,1,0,0,0.991,0.0199,188
20,14,-14.382,0,3,5,1,0,0,0.991,0.0198,202
21,16,-11.673,0,6,7,1,0,0,0.991,0.0198,218
22,18,-13.925,0,1,9,1,0,0,0.99,0.0198,236
23,16,-14.154,0,3,8,1,0,0,0.99,0.0198,252
24,7,-14.597,0,2,3,1,0,0,0.989,0.0198,259
25,9,-14.925,0,2,6,1,0,0,0.989,0.0198,268
26,5,-14.351,0,4,3,1,0,0,0.988,0.0198,273
27,9,-14.944,0,4,3,1,0,0,0.988,0.0198,282
28,9,-14.527,0,3,4,1,0,0,0.987,0.0198,291
29,7,-14.582,0,2,2,1,0,0,0.987,0.0198,298
30,19,-14.134,0,3,10,1,0,0,0.986,0.0198,317
31,26,-16.714,0,4,12,1,0,0,0.986,0.0198,343
32,6,-13.108,0,2,3,1,0,0,0.985,0.0198,349
33,5,-13.992,0,2,3,1,0,0,0.985,0.0197,354
34,18,-13.689,0,2,9,1,0,0,0.984,0.0197,372
35,19,-15.118,0,3,7,1,0,0,0.984,0.0197,391
36,6,-13.044,0,2,2,1,0,0,0.983,0.0197,397
37,23,-15.012,0,4,11,1,0,0,0.983,0.0197,420
38,15,-14.87,0,5,6,1,0,0,0.982,0.0197,435
39,6,-13.899,0,4,3,1,0,0,0.982,0.0197,441
40,5,-14.915,0,3,2,1,0,0,0.981,0.0197,446
41,22,-14.496,0,5,7,1,0,0,0.981,0.0197,468
42,11,-13.386,0,1,8,1,0,0,0.981,0.0197,479
43,5,-14.816,0,4,2,1,0,0,0.98,0.0197,484
44,5,-13.469,0,1,1,1,0,0,0.98,0.0197,489
45,12,-13.326,0,3,7,1,0,0,0.979,0.0196,501
46,17,-15.178,0,3,8,1,0,0,0.979,0.0196,518
47,19,-15.349,0,3,9,1,0,0,0.978,0.0196,537
48,5,-15.271,0,4,2,1,0,0,0.978,0.0196,542
49,9,-14.489,0,3,3,1,0,0,0.977,0.0196,551
50,5,-14.759,0,4,1,1,0,0,0.977,0.0196,556
51,5,-15.442,0,4,3,1,0,0,0.976,0.0196,561
52,5,-13.792,0,3,1,1,0,0,0.976,0.0196,566
53,5,-13.402,0,3,3,1,0,0,0.975,0.0196,571
54,10,-14.91,0,2,6,1,0,0,0.975,0.0196,581
55,6,-12.581,0,2,3,1,0,0,0.974,0.0196,587
56,8,-12.865,0,2,4,1,0,0,0.974,0.0196,595
57,9,-12.755,0,3,4,1,0,0,0.973,0.0196,604
58,7,-14.118,0,1,3,1,0,0,0.973,0.0195,611
59,5,-15.104,0,1,1,1,0,0,0.972,0.0195,616
60,9,-12.328,0,3,3,1,0,0,0.972,0.0195,625
61,6,-13.555,0,4,4,1,0,0,0.972,0.0195,631
62,11,-16.267,0,1,7,1,0,0,0.971,0.0195,642
63,8,-14.091,0,3,3,1,0,0,0.971,0.0195,650
64,39,-16.62,0,3,18,1,0,0,0.97,0.0195,689
65,13,-15.428,0,1,8,1,0,0,0.97,0.0195,702
66,5,-14.817,0,4,2,1,0,0,0.969,0.0195,707
67,6,-13.71,0,3,3,1,0,0,0.969,0.0195,713
68,9,-10.411,0,3,2,1,0,0,0.968,0.0195,722
69,10,-15.476,0,2,5,1,0,0,0.968,0.0195,732
70,5,-13.919,0,2,2,1,0,0,0.967,0.0194,737
71,14,-13.605,0,3,7,1,0,0,0.967,0.0194,751
72,8,-15.415,0,3,2,1,0,0,0.966,0.0194,759
73,10,-14.523,0,3,4,1,0,0,0.966,0.0194,769
74,9,-14.973,0,3,5,1,0,0,0.965,0.0194,778
75,7,-12.853,0,3,3,1,0,0,0.965,0.0194,785
76,10,-14.791,0,2,5,1,0,0,0.964,0.0194,795
77,5,-14.797,0,4,3,1,0,0,0.964,0.0194,800
78,24,-15.504,0,3,11,1,0,0,0.963,0.0194,824
79,5,-15.442,0,4,3,1,0,0,0.963,0.0194,829
80,5,-13.395,0,3,2,1,0,0,0.962,0.0194,834
81,10,-15.225,0,3,6,1,0,0,0.962,0.0194,844
82,10,-12.439,0,3,5,1,0,0,0.962,0.0194,854
83,5,-15.372,0,3,2,1,0,0,0.961,0.0193,859
84,5,-14.536,0,3,3,1,0,0,0.961,0.0193,864
85,12,-13.148,0,1,7,1,0,0,0.96,0.0193,876
86,5,-14.872,0,3,2,1,0,0,0.96,0.0193,881
87,18,-15.936,0,3,11,1,0,0,0.959,0.0193,899
88,19,-15.321,0,3,6,1,0,0,0.959,0.0193,918
89,6,-14.427,0,2,2,1,0,0,0.958,0.0193,924
90,16,-15.233,0,3,8,1,0,0,0.958,0.0193,940
91,6,-13.299,0,4,2,1,0,0,0.957,0.0193,946
92,18,-15.34,0,2,8,1,0,0,0.957,0.0193,964
93,9,-13.383,0,2,6,1,0,0,0.956,0.0193,973
94,20,-15.294,0,4,11,1,0,0,0.956,0.0193,993
95,18,-15.084,0,6,10,1,0,0,0.955,0.0192,1011
