seed,round,task,agent_name,score,coins,kills,self_kill,steps_survived,invalid_actions,round_total_coins,round_total_kills,round_total_suicides,opponent_scores,max_opponent_score,score_margin,win,tie,loss,survived,died,fallback_steps,optimistic_fallback_steps,coin_preference_steps
34000,0,4,our_agent,3,3,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",2,1,1,0,0,1,0,0,0,0
34001,1,4,our_agent,10,5,1,0,270,0,9,1,3,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 3}",3,7,1,0,0,1,0,0,0,0
34002,2,4,our_agent,3,3,0,0,400,0,8,0,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 4}",4,-1,0,0,1,1,0,0,0,0
34003,3,4,our_agent,1,1,0,0,400,1,9,0,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 3}",4,-3,0,0,1,1,0,0,0,0
34004,4,4,our_agent,6,6,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",2,4,1,0,0,1,0,0,0,0
34005,5,4,our_agent,2,2,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 4}",4,-2,0,0,1,1,0,0,0,0
34006,6,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 1}",5,-4,0,0,1,1,0,0,0,0
34007,7,4,our_agent,2,2,0,0,400,1,9,1,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 7, ""rule_based_agent_2"": 2}",7,-5,0,0,1,1,0,0,0,0
34008,8,4,our_agent,6,6,0,0,400,0,9,1,0,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 6, ""rule_based_agent_2"": 2}",6,0,0,1,0,1,0,0,0,0
34009,9,4,our_agent,2,2,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 1}",5,-3,0,0,1,1,0,0,0,0
34010,10,4,our_agent,14,4,2,0,400,0,9,2,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 3}",3,11,1,0,0,1,0,0,0,0
34011,11,4,our_agent,1,1,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 3}",5,-4,0,0,1,1,0,0,0,0
34012,12,4,our_agent,2,2,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 2}",5,-3,0,0,1,1,0,0,0,0
34013,13,4,our_agent,2,2,0,0,400,1,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",3,-1,0,0,1,1,0,0,0,0
34014,14,4,our_agent,7,2,1,0,107,1,9,2,1,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 0}",7,0,0,1,0,0,1,3,0,0
34015,15,4,our_agent,4,4,0,0,400,0,9,1,2,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 1}",5,-1,0,0,1,1,0,0,0,0
34016,16,4,our_agent,2,2,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 8, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 1}",8,-6,0,0,1,1,0,0,0,0
34017,17,4,our_agent,2,2,0,0,400,0,9,1,0,"{""rule_based_agent_0"": 10, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 2}",10,-8,0,0,1,1,0,0,0,0
34018,18,4,our_agent,2,2,0,0,400,1,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 2}",4,-2,0,0,1,1,0,0,0,0
34019,19,4,our_agent,3,3,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 3}",3,0,0,1,0,1,0,0,0,0
34020,20,4,our_agent,6,1,1,0,400,0,7,1,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",3,3,1,0,0,1,0,0,0,0
34021,21,4,our_agent,9,4,1,0,400,0,9,1,2,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 2}",3,6,1,0,0,1,0,0,0,0
34022,22,4,our_agent,2,2,0,0,400,2,9,1,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 7}",7,-5,0,0,1,1,0,0,0,0
34023,23,4,our_agent,1,1,0,0,88,1,9,2,1,"{""rule_based_agent_0"": 6, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 9}",9,-8,0,0,1,0,1,4,0,0
34024,24,4,our_agent,0,0,0,0,400,1,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 3}",4,-4,0,0,1,1,0,0,0,0
34025,25,4,our_agent,0,0,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 4}",4,-4,0,0,1,1,0,0,0,0
34026,26,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 4}",4,-3,0,0,1,1,0,0,0,0
34027,27,4,our_agent,2,2,0,0,400,0,9,1,0,"{""rule_based_agent_0"": 9, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",9,-7,0,0,1,1,0,0,0,0
34028,28,4,our_agent,0,0,0,0,400,0,8,0,2,"{""rule_based_agent_0"": 6, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 1}",6,-6,0,0,1,1,0,0,0,0
34029,29,4,our_agent,2,2,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 5}",5,-3,0,0,1,1,0,0,0,0
34030,30,4,our_agent,2,2,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 8}",8,-6,0,0,1,1,0,0,0,0
34031,31,4,our_agent,2,2,0,0,400,1,9,2,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 15}",15,-13,0,0,1,1,0,0,0,0
34032,32,4,our_agent,0,0,0,0,400,1,9,0,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 1}",5,-5,0,0,1,1,0,0,0,0
34033,33,4,our_agent,0,0,0,0,62,0,9,1,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 6}",6,-6,0,0,1,0,1,4,0,0
34034,34,4,our_agent,0,0,0,0,400,1,8,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 3}",3,-3,0,0,1,1,0,0,0,0
34035,35,4,our_agent,8,3,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",3,5,1,0,0,1,0,0,0,0
34036,36,4,our_agent,1,1,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 6, ""rule_based_agent_2"": 3}",6,-5,0,0,1,1,0,0,0,0
34037,37,4,our_agent,3,3,0,0,236,1,9,2,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 13}",13,-10,0,0,1,0,1,4,0,0
34038,38,4,our_agent,2,2,0,0,400,2,9,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 1}",5,-3,0,0,1,1,0,0,0,0
34039,39,4,our_agent,2,2,0,0,148,0,9,2,1,"{""rule_based_agent_0"": 6, ""rule_based_agent_1"": 7, ""rule_based_agent_2"": 4}",7,-5,0,0,1,0,1,4,0,0
34040,40,4,our_agent,1,1,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 9, ""rule_based_agent_2"": 2}",9,-8,0,0,1,1,0,0,0,0
34041,41,4,our_agent,2,2,0,0,400,1,9,0,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",3,-1,0,0,1,1,0,0,0,0
34042,42,4,our_agent,8,3,1,0,400,0,9,3,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 9}",9,-1,0,0,1,1,0,0,0,0
34043,43,4,our_agent,1,1,0,0,400,0,8,0,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 3}",3,-2,0,0,1,1,0,0,0,0
34044,44,4,our_agent,4,4,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 7}",7,-3,0,0,1,1,0,0,0,0
