seed,round,task,agent_name,score,coins,kills,self_kill,steps_survived,invalid_actions,round_total_coins,round_total_kills,round_total_suicides,opponent_scores,max_opponent_score,score_margin,win,tie,loss,survived,died,fallback_steps,optimistic_fallback_steps,coin_preference_steps
33000,0,4,our_agent,2,2,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",4,-2,0,0,1,1,0,0,0,2
33001,1,4,our_agent,1,1,0,0,400,2,9,1,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 9, ""rule_based_agent_2"": 4}",9,-8,0,0,1,1,0,0,0,3
33002,2,4,our_agent,3,3,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 3}",3,0,0,1,0,1,0,0,0,2
33003,3,4,our_agent,5,5,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",2,3,1,0,0,1,0,0,0,2
33004,4,4,our_agent,3,3,0,0,400,1,9,0,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",3,0,0,1,0,1,0,0,0,2
33005,5,4,our_agent,2,2,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 8, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 4}",8,-6,0,0,1,1,0,0,0,2
33006,6,4,our_agent,8,3,1,0,400,0,9,1,0,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 4}",4,4,1,0,0,1,0,0,0,1
33007,7,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 3}",4,-3,0,0,1,1,0,0,0,2
33008,8,4,our_agent,3,3,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 4}",4,-1,0,0,1,1,0,0,0,0
33009,9,4,our_agent,2,2,0,0,400,0,8,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",2,0,0,1,0,1,0,0,0,1
33010,10,4,our_agent,0,0,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 3}",3,-3,0,0,1,1,0,0,0,0
33011,11,4,our_agent,1,1,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 5}",5,-4,0,0,1,1,0,0,0,1
33012,12,4,our_agent,4,4,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 0}",3,1,1,0,0,1,0,0,0,0
33013,13,4,our_agent,2,2,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 1}",5,-3,0,0,1,1,0,0,0,1
33014,14,4,our_agent,3,3,0,0,93,0,9,2,2,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 6, ""rule_based_agent_2"": 3}",7,-4,0,0,1,0,1,4,0,1
33015,15,4,our_agent,1,1,0,0,400,1,9,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 2}",5,-4,0,0,1,1,0,0,0,1
33016,16,4,our_agent,2,2,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 1}",4,-2,0,0,1,1,0,0,0,1
33017,17,4,our_agent,2,2,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 8, ""rule_based_agent_2"": 2}",8,-6,0,0,1,1,0,0,0,1
33018,18,4,our_agent,8,3,1,0,400,0,9,1,0,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 4}",4,4,1,0,0,1,0,0,0,0
33019,19,4,our_agent,2,2,0,0,400,0,9,0,0,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 3}",3,-1,0,0,1,1,0,0,0,1
33020,20,4,our_agent,3,3,0,0,400,0,9,2,1,"{""rule_based_agent_0"": 8, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 7}",8,-5,0,0,1,1,0,0,0,2
33021,21,4,our_agent,7,2,1,0,400,2,9,1,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 3}",3,4,1,0,0,1,0,0,0,11
33022,22,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 2}",5,-4,0,0,1,1,0,0,0,0
33023,23,4,our_agent,6,6,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 0}",2,4,1,0,0,1,0,0,0,3
33024,24,4,our_agent,1,1,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 3}",5,-4,0,0,1,1,0,0,0,0
33025,25,4,our_agent,2,2,0,0,400,1,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 2}",3,-1,0,0,1,1,0,0,0,1
33026,26,4,our_agent,0,0,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 3}",3,-3,0,0,1,1,0,0,0,0
33027,27,4,our_agent,5,5,0,0,400,1,9,1,1,"{""rule_based_agent_0"": 6, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",6,-1,0,0,1,1,0,0,0,3
