episode,coins,kills,game_score,steps,epsilon,training_reward,objective_reward,other_event_reward,potential_net,potential_positive,potential_negative,potential_calls,terminal_potential_calls,event_counts,event_rewards
1,1,0,1,400,0.2,19.902249999999995,1.0,23.100000000000012,-4.197750000000003,49.89224999999985,-54.089999999999904,401,1,"{""BOMB_DROPPED"": 28, ""BOMB_EXPLODED"": 28, ""BOMB_NEXT_TO_CRATE"": 15, ""COIN_COLLECTED"": 1, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 28, ""ESCAPED_DANGER"": 32, ""MOVED_AWAY_FROM_COIN"": 2, ""MOVED_DOWN"": 42, ""MOVED_INTO_DANGER"": 4, ""MOVED_LEFT"": 87, ""MOVED_RIGHT"": 100, ""MOVED_TOWARD_COIN"": 16, ""MOVED_TOWARD_SAFETY"": 43, ""MOVED_UP"": 42, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 6, ""STAYED_IN_DANGER"": 2, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 10, ""WAITED"": 101}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.7500000000000001, ""COIN_COLLECTED"": 1.0, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 2.800000000000001, ""ESCAPED_DANGER"": 9.600000000000001, ""MOVED_AWAY_FROM_COIN"": -0.14, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -1.4, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.9600000000000004, ""MOVED_TOWARD_SAFETY"": 12.90000000000001, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.6, ""STAYED_IN_DANGER"": -0.5, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.9999999999999999, ""WAITED"": -2.0200000000000014}"
2,3,0,3,400,0.19988666666666668,30.91749999999998,3.0,31.62000000000004,-3.7025000000000023,79.38949999999998,-83.09199999999996,401,1,"{""BOMB_DROPPED"": 49, ""BOMB_EXPLODED"": 49, ""BOMB_NEXT_TO_CRATE"": 12, ""COIN_COLLECTED"": 3, ""COIN_FOUND"": 4, ""CRATE_DESTROYED"": 30, ""ESCAPED_DANGER"": 53, ""MOVED_DOWN"": 49, ""MOVED_INTO_DANGER"": 4, ""MOVED_LEFT"": 35, ""MOVED_RIGHT"": 49, ""MOVED_TOWARD_COIN"": 13, ""MOVED_TOWARD_SAFETY"": 69, ""MOVED_UP"": 55, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 4, ""STAYED_IN_DANGER"": 10, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 33, ""WAITED"": 163}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.6, ""COIN_COLLECTED"": 3.0, ""COIN_FOUND"": 0.2, ""CRATE_DESTROYED"": 3.0000000000000013, ""ESCAPED_DANGER"": 15.900000000000016, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -1.4, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.7800000000000002, ""MOVED_TOWARD_SAFETY"": 20.700000000000028, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.4, ""STAYED_IN_DANGER"": -2.5, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -3.3000000000000016, ""WAITED"": -3.2600000000000025}"
3,0,0,0,237,0.19977333333333336,7.7199999999999935,0,10.330000000000004,-2.610000000000002,46.33700000000001,-48.946999999999996,237,1,"{""BOMB_DROPPED"": 24, ""BOMB_EXPLODED"": 23, ""BOMB_NEXT_TO_CRATE"": 8, ""BOMB_WITH_NO_ESCAPE"": 1, ""CRATE_DESTROYED"": 18, ""ESCAPED_DANGER"": 30, ""GOT_KILLED"": 1, ""INVALID_ACTION"": 3, ""MOVED_AWAY_FROM_COIN"": 8, ""MOVED_DOWN"": 36, ""MOVED_INTO_DANGER"": 8, ""MOVED_LEFT"": 25, ""MOVED_RIGHT"": 25, ""MOVED_TOWARD_COIN"": 27, ""MOVED_TOWARD_SAFETY"": 36, ""MOVED_UP"": 40, ""SAFE_BOMB_THREATENS_OPPONENT"": 3, ""STAYED_IN_DANGER"": 6, ""USELESS_BOMB"": 12, ""WAITED"": 84}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.39999999999999997, ""BOMB_WITH_NO_ESCAPE"": -0.55, ""CRATE_DESTROYED"": 1.8000000000000005, ""ESCAPED_DANGER"": 9.0, ""GOT_KILLED"": -5.0, ""INVALID_ACTION"": -0.30000000000000004, ""MOVED_AWAY_FROM_COIN"": -0.56, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -2.8000000000000003, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.620000000000001, ""MOVED_TOWARD_SAFETY"": 10.800000000000004, ""MOVED_UP"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.30000000000000004, ""STAYED_IN_DANGER"": -1.5, ""USELESS_BOMB"": -1.2, ""WAITED"": -1.680000000000001}"
4,2,0,2,400,0.19966,31.445750000000004,2.0,32.19000000000005,-2.7442500000000005,79.84849999999997,-82.59274999999997,401,1,"{""BOMB_DROPPED"": 47, ""BOMB_EXPLODED"": 47, ""BOMB_NEXT_TO_CRATE"": 6, ""COIN_COLLECTED"": 2, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 14, ""ESCAPED_DANGER"": 52, ""MOVED_AWAY_FROM_COIN"": 4, ""MOVED_DOWN"": 65, ""MOVED_INTO_DANGER"": 5, ""MOVED_LEFT"": 45, ""MOVED_RIGHT"": 44, ""MOVED_TOWARD_COIN"": 14, ""MOVED_TOWARD_SAFETY"": 77, ""MOVED_UP"": 63, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 5, ""STAYED_IN_DANGER"": 7, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 36, ""WAITED"": 136}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.3, ""COIN_COLLECTED"": 2.0, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 1.4000000000000001, ""ESCAPED_DANGER"": 15.600000000000016, ""MOVED_AWAY_FROM_COIN"": -0.28, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -1.75, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.8400000000000003, ""MOVED_TOWARD_SAFETY"": 23.100000000000033, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.5, ""STAYED_IN_DANGER"": -1.75, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -3.600000000000002, ""WAITED"": -2.720000000000002}"
5,2,0,2,400,0.19954666666666668,22.385750000000005,2.0,24.910000000000018,-4.524250000000008,56.702583333333315,-61.226833333333325,401,1,"{""BOMB_DROPPED"": 33, ""BOMB_EXPLODED"": 33, ""BOMB_NEXT_TO_CRATE"": 13, ""COIN_COLLECTED"": 2, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 24, ""ESCAPED_DANGER"": 35, ""MOVED_DOWN"": 49, ""MOVED_INTO_DANGER"": 2, ""MOVED_LEFT"": 77, ""MOVED_RIGHT"": 86, ""MOVED_TOWARD_COIN"": 8, ""MOVED_TOWARD_SAFETY"": 54, ""MOVED_UP"": 49, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 1, ""STAYED_IN_DANGER"": 5, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 19, ""WAITED"": 106}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.65, ""COIN_COLLECTED"": 2.0, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 2.400000000000001, ""ESCAPED_DANGER"": 10.500000000000004, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -0.7, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.48, ""MOVED_TOWARD_SAFETY"": 16.200000000000017, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.1, ""STAYED_IN_DANGER"": -1.25, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -1.9000000000000006, ""WAITED"": -2.1200000000000014}"
6,2,1,7,154,0.19943333333333335,9.944499999999985,7.0,6.519999999999996,-3.575500000000004,25.98741666666664,-29.562916666666663,154,1,"{""BOMB_DROPPED"": 17, ""BOMB_EXPLODED"": 16, ""BOMB_NEXT_TO_CRATE"": 13, ""BOMB_WITH_NO_ESCAPE"": 1, ""COIN_COLLECTED"": 2, ""CRATE_DESTROYED"": 18, ""ESCAPED_DANGER"": 17, ""GOT_KILLED"": 1, ""INVALID_ACTION"": 1, ""KILLED_OPPONENT"": 1, ""MOVED_AWAY_FROM_COIN"": 11, ""MOVED_DOWN"": 10, ""MOVED_INTO_DANGER"": 2, ""MOVED_LEFT"": 21, ""MOVED_RIGHT"": 30, ""MOVED_TOWARD_COIN"": 19, ""MOVED_TOWARD_SAFETY"": 24, ""MOVED_UP"": 20, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 7, ""STAYED_IN_DANGER"": 7, ""USELESS_BOMB"": 1, ""WAITED"": 55}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.65, ""BOMB_WITH_NO_ESCAPE"": -0.55, ""COIN_COLLECTED"": 2.0, ""CRATE_DESTROYED"": 1.8000000000000005, ""ESCAPED_DANGER"": 5.099999999999999, ""GOT_KILLED"": -5.0, ""INVALID_ACTION"": -0.1, ""KILLED_OPPONENT"": 5.0, ""MOVED_AWAY_FROM_COIN"": -0.7700000000000002, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -0.7, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.1400000000000006, ""MOVED_TOWARD_SAFETY"": 7.1999999999999975, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.7, ""STAYED_IN_DANGER"": -1.75, ""USELESS_BOMB"": -0.1, ""WAITED"": -1.1000000000000005}"
7,1,0,1,82,0.19932,0.8647500000000008,1.0,1.2999999999999994,-1.4352500000000001,11.955249999999996,-13.390500000000001,82,1,"{""BOMB_DROPPED"": 8, ""BOMB_EXPLODED"": 7, ""BOMB_NEXT_TO_CRATE"": 7, ""BOMB_WITH_NO_ESCAPE"": 1, ""COIN_COLLECTED"": 1, ""CRATE_DESTROYED"": 20, ""ESCAPED_DANGER"": 7, ""GOT_KILLED"": 1, ""MOVED_DOWN"": 14, ""MOVED_INTO_DANGER"": 1, ""MOVED_LEFT"": 9, ""MOVED_RIGHT"": 16, ""MOVED_TOWARD_COIN"": 5, ""MOVED_TOWARD_SAFETY"": 12, ""MOVED_UP"": 10, ""SAFE_BOMB_THREATENS_OPPONENT"": 1, ""STAYED_IN_DANGER"": 3, ""WAITED"": 25}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.35, ""BOMB_WITH_NO_ESCAPE"": -0.55, ""COIN_COLLECTED"": 1.0, ""CRATE_DESTROYED"": 2.0000000000000004, ""ESCAPED_DANGER"": 2.1, ""GOT_KILLED"": -5.0, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -0.35, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.3, ""MOVED_TOWARD_SAFETY"": 3.599999999999999, ""MOVED_UP"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.1, ""STAYED_IN_DANGER"": -0.75, ""WAITED"": -0.5000000000000001}"
8,0,0,0,400,0.19920666666666667,12.123500000000003,0,20.080000000000013,-7.9564999999999975,51.063750000000006,-59.02025000000004,401,1,"{""BOMB_DROPPED"": 25, ""BOMB_EXPLODED"": 25, ""BOMB_NEXT_TO_CRATE"": 12, ""COIN_FOUND"": 2, ""CRATE_DESTROYED"": 25, ""ESCAPED_DANGER"": 30, ""INVALID_ACTION"": 1, ""MOVED_AWAY_FROM_COIN"": 42, ""MOVED_DOWN"": 29, ""MOVED_INTO_DANGER"": 5, ""MOVED_LEFT"": 117, ""MOVED_RIGHT"": 104, ""MOVED_TOWARD_COIN"": 42, ""MOVED_TOWARD_SAFETY"": 42, ""MOVED_UP"": 29, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 8, ""STAYED_IN_DANGER"": 5, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 6, ""WAITED"": 95}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.6, ""COIN_FOUND"": 0.1, ""CRATE_DESTROYED"": 2.500000000000001, ""ESCAPED_DANGER"": 9.0, ""INVALID_ACTION"": -0.1, ""MOVED_AWAY_FROM_COIN"": -2.939999999999999, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -1.75, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 2.520000000000002, ""MOVED_TOWARD_SAFETY"": 12.600000000000009, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.7999999999999999, ""STAYED_IN_DANGER"": -1.25, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.6, ""WAITED"": -1.9000000000000012}"
9,1,0,1,400,0.19909333333333334,19.660499999999974,1.0,24.43000000000002,-5.769500000000011,58.659000000000034,-64.4285,401,1,"{""BOMB_DROPPED"": 31, ""BOMB_EXPLODED"": 30, ""BOMB_NEXT_TO_CRATE"": 10, ""COIN_COLLECTED"": 1, ""CRATE_DESTROYED"": 23, ""ESCAPED_DANGER"": 36, ""MOVED_AWAY_FROM_COIN"": 10, ""MOVED_DOWN"": 39, ""MOVED_INTO_DANGER"": 6, ""MOVED_LEFT"": 85, ""MOVED_RIGHT"": 99, ""MOVED_TOWARD_COIN"": 21, ""MOVED_TOWARD_SAFETY"": 53, ""MOVED_UP"": 47, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 4, ""STAYED_IN_DANGER"": 3, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 17, ""WAITED"": 99}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.49999999999999994, ""COIN_COLLECTED"": 1.0, ""CRATE_DESTROYED"": 2.3000000000000007, ""ESCAPED_DANGER"": 10.800000000000004, ""MOVED_AWAY_FROM_COIN"": -0.7000000000000002, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -2.1, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.2600000000000007, ""MOVED_TOWARD_SAFETY"": 15.900000000000016, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.4, ""STAYED_IN_DANGER"": -0.75, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -1.7000000000000004, ""WAITED"": -1.9800000000000013}"
10,0,0,0,400,0.19898000000000002,17.261,0,23.550000000000022,-6.28900000000001,62.6915,-68.98050000000006,401,1,"{""BOMB_DROPPED"": 36, ""BOMB_EXPLODED"": 35, ""BOMB_NEXT_TO_CRATE"": 7, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 13, ""ESCAPED_DANGER"": 41, ""MOVED_AWAY_FROM_COIN"": 14, ""MOVED_DOWN"": 52, ""MOVED_INTO_DANGER"": 6, ""MOVED_LEFT"": 70, ""MOVED_RIGHT"": 64, ""MOVED_TOWARD_COIN"": 20, ""MOVED_TOWARD_SAFETY"": 54, ""MOVED_UP"": 52, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 10, ""STAYED_IN_DANGER"": 7, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 20, ""WAITED"": 126}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.35, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 1.3, ""ESCAPED_DANGER"": 12.300000000000008, ""MOVED_AWAY_FROM_COIN"": -0.9800000000000004, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -2.1, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.2000000000000006, ""MOVED_TOWARD_SAFETY"": 16.200000000000017, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.9999999999999999, ""STAYED_IN_DANGER"": -1.75, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -2.0000000000000004, ""WAITED"": -2.520000000000002}"
