seed,round,task,agent_name,score,coins,kills,self_kill,steps_survived,invalid_actions,round_total_coins,round_total_kills,round_total_suicides,opponent_scores,max_opponent_score,score_margin,win,tie,loss,survived,died,fallback_steps,optimistic_fallback_steps,coin_preference_steps
36000,0,4,our_agent,7,2,1,0,400,0,8,2,0,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 8, ""rule_based_agent_2"": 1}",8,-1,0,0,1,1,0,0,0,0
36001,1,4,our_agent,0,0,0,0,400,0,9,1,2,"{""rule_based_agent_0"": 10, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 1}",10,-10,0,0,1,1,0,0,0,0
36002,2,4,our_agent,1,1,0,0,400,0,8,0,2,"{""rule_based_agent_0"": 6, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 1}",6,-5,0,0,1,1,0,0,0,0
36003,3,4,our_agent,0,0,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 10, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 4}",10,-10,0,0,1,1,0,0,0,0
36004,4,4,our_agent,1,1,0,0,400,1,9,1,0,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 7, ""rule_based_agent_2"": 3}",7,-6,0,0,1,1,0,0,0,0
36005,5,4,our_agent,0,0,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 8}",8,-8,0,0,1,1,0,0,0,0
36006,6,4,our_agent,0,0,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 4}",4,-4,0,0,1,1,0,0,0,0
36007,7,4,our_agent,7,2,1,0,400,2,9,1,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 2}",4,3,1,0,0,1,0,0,0,0
36008,8,4,our_agent,0,0,0,0,400,0,9,1,2,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 2}",7,-7,0,0,1,1,0,0,0,0
36009,9,4,our_agent,1,1,0,0,400,0,9,1,0,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 6, ""rule_based_agent_2"": 0}",7,-6,0,0,1,1,0,0,0,0
36010,10,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 4}",4,-3,0,0,1,1,0,0,0,0
36011,11,4,our_agent,0,0,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 4}",5,-5,0,0,1,1,0,0,0,0
36012,12,4,our_agent,0,0,0,0,400,0,9,1,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 7, ""rule_based_agent_2"": 5}",7,-7,0,0,1,1,0,0,0,0
