seed,round,task,agent_name,score,coins,kills,self_kill,steps_survived,invalid_actions,round_total_coins,round_total_kills,round_total_suicides,opponent_scores,max_opponent_score,score_margin,win,tie,loss,survived,died,fallback_steps,optimistic_fallback_steps,coin_preference_steps
35000,0,4,our_agent,13,3,2,0,400,2,8,2,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",2,11,1,0,0,1,0,0,0,0
35001,1,4,our_agent,7,2,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",3,4,1,0,0,1,0,0,0,0
35002,2,4,our_agent,2,2,0,0,400,2,9,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 3}",3,-1,0,0,1,1,0,0,0,0
35003,3,4,our_agent,1,1,0,0,400,0,8,1,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 9, ""rule_based_agent_2"": 1}",9,-8,0,0,1,1,0,0,0,0
35004,4,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 4}",4,-3,0,0,1,1,0,0,0,0
35005,5,4,our_agent,8,3,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",3,5,1,0,0,1,0,0,0,0
35006,6,4,our_agent,2,2,0,0,400,0,9,0,0,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 1}",4,-2,0,0,1,1,0,0,0,0
35007,7,4,our_agent,5,5,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 3}",3,2,1,0,0,1,0,0,0,0
35008,8,4,our_agent,7,2,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",3,4,1,0,0,1,0,0,0,0
35009,9,4,our_agent,3,3,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 7}",7,-4,0,0,1,1,0,0,0,0
35010,10,4,our_agent,4,4,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",3,1,1,0,0,1,0,0,0,0
35011,11,4,our_agent,0,0,0,0,74,0,9,2,0,"{""rule_based_agent_0"": 12, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 2}",12,-12,0,0,1,0,1,4,0,0
35012,12,4,our_agent,4,4,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",2,2,1,0,0,1,0,0,0,0
35013,13,4,our_agent,8,3,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",2,6,1,0,0,1,0,0,0,0
35014,14,4,our_agent,3,3,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",3,0,0,1,0,1,0,0,0,0
35015,15,4,our_agent,2,2,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 4}",4,-2,0,0,1,1,0,0,0,0
35016,16,4,our_agent,5,0,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",4,1,1,0,0,1,0,0,0,0
35017,17,4,our_agent,8,3,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",2,6,1,0,0,1,0,0,0,0
