seed,round,task,agent_name,score,coins,kills,self_kill,steps_survived,invalid_actions,round_total_coins,round_total_kills,round_total_suicides,opponent_scores,max_opponent_score,score_margin,win,tie,loss
26000,0,4,our_agent,8,3,1,0,363,0,9,2,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 7, ""rule_based_agent_2"": 2}",7,1,1,0,0
26001,1,4,our_agent,1,1,0,0,263,1,9,2,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 11, ""rule_based_agent_2"": 7}",11,-10,0,0,1
26002,2,4,our_agent,7,2,1,0,400,0,8,1,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 3}",3,4,1,0,0
26003,3,4,our_agent,6,1,1,0,400,0,9,2,0,"{""rule_based_agent_0"": 10, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",10,-4,0,0,1
26004,4,4,our_agent,4,4,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",2,2,1,0,0
26005,5,4,our_agent,4,4,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 1}",4,0,0,1,0
26006,6,4,our_agent,6,1,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",4,2,1,0,0
26007,7,4,our_agent,1,1,0,1,81,1,9,1,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 8, ""rule_based_agent_2"": 3}",8,-7,0,0,1
26008,8,4,our_agent,7,2,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 1}",3,4,1,0,0
26009,9,4,our_agent,1,1,0,1,262,1,9,1,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 9}",9,-8,0,0,1
26010,10,4,our_agent,0,0,0,0,400,1,9,0,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 1}",5,-5,0,0,1
26011,11,4,our_agent,1,1,0,0,133,1,9,2,0,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 13, ""rule_based_agent_2"": 2}",13,-12,0,0,1
26012,12,4,our_agent,5,5,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 1}",2,3,1,0,0
26013,13,4,our_agent,3,3,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 1}",5,-2,0,0,1
26014,14,4,our_agent,9,4,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",3,6,1,0,0
26015,15,4,our_agent,9,4,1,0,400,0,9,1,0,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 1}",3,6,1,0,0
26016,16,4,our_agent,7,2,1,0,400,2,9,1,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 4}",4,3,1,0,0
26017,17,4,our_agent,8,3,1,0,400,0,9,1,0,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 3}",3,5,1,0,0
26018,18,4,our_agent,1,1,0,0,400,2,9,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 6, ""rule_based_agent_2"": 0}",6,-5,0,0,1
26019,19,4,our_agent,4,4,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 4}",4,0,0,1,0
26020,20,4,our_agent,6,1,1,0,183,2,7,3,2,"{""rule_based_agent_0"": 12, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",12,-6,0,0,1
26021,21,4,our_agent,1,1,0,1,173,2,9,0,3,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 6, ""rule_based_agent_2"": 1}",6,-5,0,0,1
26022,22,4,our_agent,3,3,0,0,400,1,9,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 3}",3,0,0,1,0
26023,23,4,our_agent,0,0,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 6, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 3}",6,-6,0,0,1
26024,24,4,our_agent,1,1,0,1,122,1,9,0,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",3,-2,0,0,1
26025,25,4,our_agent,3,3,0,0,400,0,9,1,0,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 4}",7,-4,0,0,1
26026,26,4,our_agent,3,3,0,0,400,0,9,1,0,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 7}",7,-4,0,0,1
