seed,round,task,agent_name,score,coins,kills,self_kill,steps_survived,invalid_actions,round_total_coins,round_total_kills,round_total_suicides,opponent_scores,max_opponent_score,score_margin,win,tie,loss,survived,died,fallback_steps,optimistic_fallback_steps
31000,0,4,our_agent,3,3,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 2}",3,0,0,1,0,1,0,0,0
31001,1,4,our_agent,8,3,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 1}",5,3,1,0,0,1,0,0,0
31002,2,4,our_agent,8,3,1,0,400,1,9,1,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",3,5,1,0,0,1,0,0,0
31003,3,4,our_agent,2,2,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 11}",11,-9,0,0,1,1,0,0,0
31004,4,4,our_agent,0,0,0,0,400,1,8,1,0,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 9}",9,-9,0,0,1,1,0,0,0
31005,5,4,our_agent,2,2,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 1}",5,-3,0,0,1,1,0,0,0
31006,6,4,our_agent,3,3,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 3}",3,0,0,1,0,1,0,0,0
31007,7,4,our_agent,0,0,0,0,400,1,9,0,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 4}",4,-4,0,0,1,1,0,0,0
31008,8,4,our_agent,3,3,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 3}",3,0,0,1,0,1,0,0,0
31009,9,4,our_agent,2,2,0,0,400,1,9,0,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",3,-1,0,0,1,1,0,0,0
31010,10,4,our_agent,2,2,0,0,95,1,9,2,0,"{""rule_based_agent_0"": 8, ""rule_based_agent_1"": 7, ""rule_based_agent_2"": 2}",8,-6,0,0,1,0,1,4,0
31011,11,4,our_agent,0,0,0,0,400,2,9,1,0,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 3}",7,-7,0,0,1,1,0,0,0
31012,12,4,our_agent,6,6,0,0,400,0,9,1,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 5}",5,1,1,0,0,1,0,0,0
31013,13,4,our_agent,4,4,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",2,2,1,0,0,1,0,0,0
31014,14,4,our_agent,7,2,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 0}",7,0,0,1,0,1,0,0,0
31015,15,4,our_agent,0,0,0,0,400,1,9,1,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 10, ""rule_based_agent_2"": 1}",10,-10,0,0,1,1,0,0,0
31016,16,4,our_agent,4,4,0,0,400,1,9,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",2,2,1,0,0,1,0,0,0
31017,17,4,our_agent,1,1,0,0,400,0,9,2,2,"{""rule_based_agent_0"": 10, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 3}",10,-9,0,0,1,1,0,0,0
31018,18,4,our_agent,2,2,0,0,400,0,9,1,0,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 8}",8,-6,0,0,1,1,0,0,0
31019,19,4,our_agent,14,4,2,0,400,0,9,2,0,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 4}",4,10,1,0,0,1,0,0,0
31020,20,4,our_agent,2,2,0,0,223,0,9,0,3,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 3}",3,-1,0,0,1,1,0,0,0
31021,21,4,our_agent,3,3,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 1}",5,-2,0,0,1,1,0,0,0
31022,22,4,our_agent,3,3,0,0,400,0,8,2,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 7, ""rule_based_agent_2"": 6}",7,-4,0,0,1,1,0,0,0
31023,23,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",5,-4,0,0,1,1,0,0,0
31024,24,4,our_agent,8,3,1,0,400,0,9,1,0,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 2}",3,5,1,0,0,1,0,0,0
31025,25,4,our_agent,9,4,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 1}",3,6,1,0,0,1,0,0,0
31026,26,4,our_agent,4,4,0,0,149,0,9,1,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 7}",7,-3,0,0,1,0,1,4,0
31027,27,4,our_agent,2,2,0,0,400,3,9,0,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",3,-1,0,0,1,1,0,0,0
31028,28,4,our_agent,2,2,0,0,400,0,9,1,0,"{""rule_based_agent_0"": 8, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 1}",8,-6,0,0,1,1,0,0,0
31029,29,4,our_agent,4,4,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",2,2,1,0,0,1,0,0,0
31030,30,4,our_agent,1,1,0,0,135,1,9,2,0,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 10, ""rule_based_agent_2"": 1}",10,-9,0,0,1,0,1,4,0
31031,31,4,our_agent,0,0,0,0,400,1,9,1,0,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 6}",6,-6,0,0,1,1,0,0,0
31032,32,4,our_agent,2,2,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 7}",7,-5,0,0,1,1,0,0,0
31033,33,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 1}",4,-3,0,0,1,1,0,0,0
31034,34,4,our_agent,5,5,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 0}",3,2,1,0,0,1,0,0,0
31035,35,4,our_agent,0,0,0,0,104,3,9,1,2,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 4}",7,-7,0,0,1,0,1,3,0
31036,36,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 2}",3,-2,0,0,1,1,0,0,0
31037,37,4,our_agent,1,1,0,0,400,0,8,0,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",3,-2,0,0,1,1,0,0,0
31038,38,4,our_agent,3,3,0,0,400,1,9,1,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 8}",8,-5,0,0,1,1,0,0,0
31039,39,4,our_agent,7,2,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 3}",3,4,1,0,0,1,0,0,0
31040,40,4,our_agent,8,3,1,0,400,0,9,2,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 6, ""rule_based_agent_2"": 1}",6,2,1,0,0,1,0,0,0
31041,41,4,our_agent,4,4,0,0,400,0,8,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 0}",3,1,1,0,0,1,0,0,0
31042,42,4,our_agent,1,1,0,0,41,0,9,1,2,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 9}",9,-8,0,0,1,0,1,4,0
31043,43,4,our_agent,5,5,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 3}",3,2,1,0,0,1,0,0,0
31044,44,4,our_agent,3,3,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",3,0,0,1,0,1,0,0,0
31045,45,4,our_agent,5,5,0,0,400,1,9,1,0,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 5}",5,0,0,1,0,1,0,0,0
31046,46,4,our_agent,4,4,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 4}",4,0,0,1,0,1,0,0,0
31047,47,4,our_agent,1,1,0,0,400,0,9,2,2,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 10, ""rule_based_agent_2"": 1}",10,-9,0,0,1,1,0,0,0
31048,48,4,our_agent,1,1,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 4}",4,-3,0,0,1,1,0,0,0
31049,49,4,our_agent,4,4,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",2,2,1,0,0,1,0,0,0
31050,50,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 4}",4,-3,0,0,1,1,0,0,0
31051,51,4,our_agent,2,2,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 10}",10,-8,0,0,1,1,0,0,0
31052,52,4,our_agent,2,2,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 2}",3,-1,0,0,1,1,0,0,0
31053,53,4,our_agent,2,2,0,0,400,0,8,1,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 7, ""rule_based_agent_2"": 3}",7,-5,0,0,1,1,0,0,0
31054,54,4,our_agent,6,1,1,0,400,0,9,1,0,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 2}",4,2,1,0,0,1,0,0,0
31055,55,4,our_agent,1,1,0,0,400,0,8,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 1}",5,-4,0,0,1,1,0,0,0
31056,56,4,our_agent,6,1,1,0,400,0,8,1,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 4}",4,2,1,0,0,1,0,0,0
31057,57,4,our_agent,8,3,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",3,5,1,0,0,1,0,0,0
31058,58,4,our_agent,1,1,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 6, ""rule_based_agent_2"": 4}",6,-5,0,0,1,1,0,0,0
31059,59,4,our_agent,5,5,0,0,400,0,9,1,0,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 6, ""rule_based_agent_2"": 1}",6,-1,0,0,1,1,0,0,0
31060,60,4,our_agent,3,3,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",3,0,0,1,0,1,0,0,0
31061,61,4,our_agent,4,4,0,0,283,0,9,0,3,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",2,2,1,0,0,1,0,0,0
31062,62,4,our_agent,3,3,0,0,400,0,9,1,2,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 4}",7,-4,0,0,1,1,0,0,0
31063,63,4,our_agent,10,5,1,0,400,0,9,1,0,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 1}",2,8,1,0,0,1,0,0,0
31064,64,4,our_agent,1,1,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 2}",3,-2,0,0,1,1,0,0,0
31065,65,4,our_agent,3,3,0,0,400,3,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 4}",4,-1,0,0,1,1,0,1,0
31066,66,4,our_agent,1,1,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 5}",5,-4,0,0,1,1,0,0,0
31067,67,4,our_agent,2,2,0,0,139,1,9,1,2,"{""rule_based_agent_0"": 8, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",8,-6,0,0,1,0,1,4,0
31068,68,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 4}",4,-3,0,0,1,1,0,0,0
