episode,coins,kills,game_score,steps,epsilon,training_reward,objective_reward,other_event_reward,potential_net,potential_positive,potential_negative,potential_calls,terminal_potential_calls,event_counts,event_rewards
1,1,0,1,400,0.2,18.063499999999944,1.0,22.51000000000001,-5.44650000000002,46.69658333333325,-52.1430833333333,400,0,"{""BOMB_DROPPED"": 29, ""BOMB_EXPLODED"": 29, ""BOMB_NEXT_TO_CRATE"": 13, ""COIN_COLLECTED"": 1, ""CRATE_DESTROYED"": 32, ""ESCAPED_DANGER"": 29, ""MOVED_DOWN"": 48, ""MOVED_INTO_DANGER"": 1, ""MOVED_LEFT"": 88, ""MOVED_RIGHT"": 87, ""MOVED_TOWARD_COIN"": 21, ""MOVED_TOWARD_SAFETY"": 41, ""MOVED_UP"": 48, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 6, ""STAYED_IN_DANGER"": 5, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 11, ""WAITED"": 100}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.65, ""COIN_COLLECTED"": 1.0, ""CRATE_DESTROYED"": 3.2000000000000015, ""ESCAPED_DANGER"": 8.7, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -0.35, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.2600000000000007, ""MOVED_TOWARD_SAFETY"": 12.300000000000008, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.6, ""STAYED_IN_DANGER"": -1.25, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -1.0999999999999999, ""WAITED"": -2.0000000000000013}"
2,2,0,2,400,0.19988666666666668,26.555999999999955,2.0,30.24000000000003,-5.684000000000006,67.95191666666666,-73.6359166666667,400,0,"{""BOMB_DROPPED"": 42, ""BOMB_EXPLODED"": 42, ""BOMB_NEXT_TO_CRATE"": 14, ""COIN_COLLECTED"": 2, ""COIN_FOUND"": 2, ""CRATE_DESTROYED"": 24, ""ESCAPED_DANGER"": 44, ""INVALID_ACTION"": 1, ""MOVED_AWAY_FROM_COIN"": 2, ""MOVED_DOWN"": 48, ""MOVED_INTO_DANGER"": 2, ""MOVED_LEFT"": 64, ""MOVED_RIGHT"": 54, ""MOVED_TOWARD_COIN"": 25, ""MOVED_TOWARD_SAFETY"": 64, ""MOVED_UP"": 60, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 10, ""STAYED_IN_DANGER"": 12, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 18, ""WAITED"": 131}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.7000000000000001, ""COIN_COLLECTED"": 2.0, ""COIN_FOUND"": 0.1, ""CRATE_DESTROYED"": 2.400000000000001, ""ESCAPED_DANGER"": 13.20000000000001, ""INVALID_ACTION"": -0.1, ""MOVED_AWAY_FROM_COIN"": -0.14, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -0.7, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.5000000000000009, ""MOVED_TOWARD_SAFETY"": 19.200000000000024, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.9999999999999999, ""STAYED_IN_DANGER"": -3.0, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -1.8000000000000005, ""WAITED"": -2.620000000000002}"
3,1,0,1,400,0.19977333333333336,30.385500000000015,1.0,32.21000000000004,-2.8244999999999987,72.54133333333327,-75.36583333333334,400,0,"{""BOMB_DROPPED"": 46, ""BOMB_EXPLODED"": 46, ""BOMB_NEXT_TO_CRATE"": 14, ""COIN_COLLECTED"": 1, ""COIN_FOUND"": 3, ""CRATE_DESTROYED"": 26, ""ESCAPED_DANGER"": 46, ""MOVED_AWAY_FROM_COIN"": 2, ""MOVED_DOWN"": 48, ""MOVED_LEFT"": 53, ""MOVED_RIGHT"": 56, ""MOVED_TOWARD_COIN"": 4, ""MOVED_TOWARD_SAFETY"": 74, ""MOVED_UP"": 60, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 3, ""STAYED_IN_DANGER"": 10, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 29, ""WAITED"": 137}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.7000000000000001, ""COIN_COLLECTED"": 1.0, ""COIN_FOUND"": 0.15000000000000002, ""CRATE_DESTROYED"": 2.600000000000001, ""ESCAPED_DANGER"": 13.800000000000011, ""MOVED_AWAY_FROM_COIN"": -0.14, ""MOVED_DOWN"": 0.0, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.24, ""MOVED_TOWARD_SAFETY"": 22.20000000000003, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.30000000000000004, ""STAYED_IN_DANGER"": -2.5, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -2.9000000000000012, ""WAITED"": -2.740000000000002}"
4,0,1,5,400,0.19966,25.609249999999964,5.0,28.41000000000004,-7.800750000000015,73.74199999999999,-81.54275000000008,400,0,"{""BOMB_DROPPED"": 45, ""BOMB_EXPLODED"": 44, ""BOMB_NEXT_TO_CRATE"": 8, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 18, ""ESCAPED_DANGER"": 50, ""INVALID_ACTION"": 2, ""KILLED_OPPONENT"": 1, ""MOVED_AWAY_FROM_COIN"": 10, ""MOVED_DOWN"": 46, ""MOVED_INTO_DANGER"": 6, ""MOVED_LEFT"": 59, ""MOVED_RIGHT"": 58, ""MOVED_TOWARD_COIN"": 15, ""MOVED_TOWARD_SAFETY"": 66, ""MOVED_UP"": 58, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 15, ""STAYED_IN_DANGER"": 14, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 24, ""WAITED"": 132}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.39999999999999997, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 1.8000000000000005, ""ESCAPED_DANGER"": 15.000000000000014, ""INVALID_ACTION"": -0.2, ""KILLED_OPPONENT"": 5.0, ""MOVED_AWAY_FROM_COIN"": -0.7000000000000002, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -2.1, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.9000000000000004, ""MOVED_TOWARD_SAFETY"": 19.800000000000026, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 1.5000000000000002, ""STAYED_IN_DANGER"": -3.5, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -2.400000000000001, ""WAITED"": -2.640000000000002}"
5,2,1,7,400,0.19954666666666668,25.226499999999973,7.0,25.72000000000002,-7.493500000000001,59.944,-67.43749999999989,400,0,"{""BOMB_DROPPED"": 36, ""BOMB_EXPLODED"": 35, ""BOMB_NEXT_TO_CRATE"": 7, ""COIN_COLLECTED"": 2, ""COIN_FOUND"": 2, ""CRATE_DESTROYED"": 15, ""ESCAPED_DANGER"": 36, ""KILLED_OPPONENT"": 1, ""MOVED_AWAY_FROM_COIN"": 7, ""MOVED_DOWN"": 71, ""MOVED_INTO_DANGER"": 1, ""MOVED_LEFT"": 69, ""MOVED_RIGHT"": 55, ""MOVED_TOWARD_COIN"": 16, ""MOVED_TOWARD_SAFETY"": 58, ""MOVED_UP"": 59, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 7, ""STAYED_IN_DANGER"": 5, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 23, ""WAITED"": 110}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.35, ""COIN_COLLECTED"": 2.0, ""COIN_FOUND"": 0.1, ""CRATE_DESTROYED"": 1.5000000000000002, ""ESCAPED_DANGER"": 10.800000000000004, ""KILLED_OPPONENT"": 5.0, ""MOVED_AWAY_FROM_COIN"": -0.49000000000000005, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -0.35, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.9600000000000004, ""MOVED_TOWARD_SAFETY"": 17.40000000000002, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.7, ""STAYED_IN_DANGER"": -1.25, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -2.3000000000000007, ""WAITED"": -2.2000000000000015}"
6,1,0,1,91,0.19943333333333335,-0.5590000000000019,1.0,0.97,-2.5290000000000017,14.676416666666658,-17.205416666666665,90,0,"{""BOMB_DROPPED"": 8, ""BOMB_EXPLODED"": 8, ""BOMB_NEXT_TO_CRATE"": 5, ""COIN_COLLECTED"": 1, ""COIN_FOUND"": 2, ""CRATE_DESTROYED"": 15, ""ESCAPED_DANGER"": 8, ""GOT_KILLED"": 1, ""MOVED_AWAY_FROM_COIN"": 8, ""MOVED_DOWN"": 16, ""MOVED_INTO_DANGER"": 1, ""MOVED_LEFT"": 13, ""MOVED_RIGHT"": 9, ""MOVED_TOWARD_COIN"": 21, ""MOVED_TOWARD_SAFETY"": 11, ""MOVED_UP"": 16, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 1, ""STAYED_IN_DANGER"": 5, ""USELESS_BOMB"": 2, ""WAITED"": 29}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.25, ""COIN_COLLECTED"": 1.0, ""COIN_FOUND"": 0.1, ""CRATE_DESTROYED"": 1.5000000000000002, ""ESCAPED_DANGER"": 2.4, ""GOT_KILLED"": -5.0, ""MOVED_AWAY_FROM_COIN"": -0.56, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -0.35, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.2600000000000007, ""MOVED_TOWARD_SAFETY"": 3.2999999999999994, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.1, ""STAYED_IN_DANGER"": -1.25, ""USELESS_BOMB"": -0.2, ""WAITED"": -0.5800000000000002}"
7,2,1,7,400,0.19932,24.035500000000063,7.0,22.670000000000023,-5.634500000000005,66.06716666666667,-71.70166666666657,400,0,"{""BOMB_DROPPED"": 34, ""BOMB_EXPLODED"": 33, ""BOMB_NEXT_TO_CRATE"": 11, ""COIN_COLLECTED"": 2, ""COIN_FOUND"": 2, ""CRATE_DESTROYED"": 20, ""ESCAPED_DANGER"": 45, ""INVALID_ACTION"": 3, ""KILLED_OPPONENT"": 1, ""MOVED_AWAY_FROM_COIN"": 5, ""MOVED_DOWN"": 55, ""MOVED_INTO_DANGER"": 11, ""MOVED_LEFT"": 56, ""MOVED_RIGHT"": 67, ""MOVED_TOWARD_COIN"": 6, ""MOVED_TOWARD_SAFETY"": 53, ""MOVED_UP"": 63, ""OPPONENT_ELIMINATED"": 3, ""SAFE_BOMB_THREATENS_OPPONENT"": 5, ""STAYED_IN_DANGER"": 8, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 18, ""WAITED"": 122}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.5499999999999999, ""COIN_COLLECTED"": 2.0, ""COIN_FOUND"": 0.1, ""CRATE_DESTROYED"": 2.0000000000000004, ""ESCAPED_DANGER"": 13.50000000000001, ""INVALID_ACTION"": -0.30000000000000004, ""KILLED_OPPONENT"": 5.0, ""MOVED_AWAY_FROM_COIN"": -0.35000000000000003, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -3.8500000000000005, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.36, ""MOVED_TOWARD_SAFETY"": 15.900000000000016, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.5, ""STAYED_IN_DANGER"": -2.0, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -1.8000000000000005, ""WAITED"": -2.4400000000000017}"
8,3,1,8,309,0.19920666666666667,28.62549999999995,8.0,26.130000000000024,-5.504500000000012,57.292750000000055,-62.79725,309,0,"{""BOMB_DROPPED"": 34, ""BOMB_EXPLODED"": 34, ""BOMB_NEXT_TO_CRATE"": 15, ""COIN_COLLECTED"": 3, ""COIN_FOUND"": 3, ""CRATE_DESTROYED"": 33, ""ESCAPED_DANGER"": 38, ""INVALID_ACTION"": 1, ""KILLED_OPPONENT"": 1, ""MOVED_AWAY_FROM_COIN"": 8, ""MOVED_DOWN"": 37, ""MOVED_INTO_DANGER"": 5, ""MOVED_LEFT"": 32, ""MOVED_RIGHT"": 46, ""MOVED_TOWARD_COIN"": 24, ""MOVED_TOWARD_SAFETY"": 50, ""MOVED_UP"": 49, ""OPPONENT_ELIMINATED"": 3, ""SAFE_BOMB_THREATENS_OPPONENT"": 10, ""SAFE_BOMB_TRAPS_OPPONENT"": 1, ""STAYED_IN_DANGER"": 8, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 10, ""WAITED"": 110}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.7500000000000001, ""COIN_COLLECTED"": 3.0, ""COIN_FOUND"": 0.15000000000000002, ""CRATE_DESTROYED"": 3.3000000000000016, ""ESCAPED_DANGER"": 11.400000000000006, ""INVALID_ACTION"": -0.1, ""KILLED_OPPONENT"": 5.0, ""MOVED_AWAY_FROM_COIN"": -0.56, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -1.75, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.4400000000000008, ""MOVED_TOWARD_SAFETY"": 15.000000000000014, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.9999999999999999, ""SAFE_BOMB_TRAPS_OPPONENT"": 0.2, ""STAYED_IN_DANGER"": -2.0, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.9999999999999999, ""WAITED"": -2.2000000000000015}"
9,0,0,0,400,0.19909333333333334,19.068749999999994,0,24.29000000000002,-5.221250000000007,59.38974999999997,-64.61099999999998,400,0,"{""BOMB_DROPPED"": 35, ""BOMB_EXPLODED"": 34, ""BOMB_NEXT_TO_CRATE"": 7, ""CRATE_DESTROYED"": 19, ""ESCAPED_DANGER"": 38, ""INVALID_ACTION"": 2, ""MOVED_AWAY_FROM_COIN"": 4, ""MOVED_DOWN"": 47, ""MOVED_INTO_DANGER"": 3, ""MOVED_LEFT"": 64, ""MOVED_RIGHT"": 54, ""MOVED_TOWARD_COIN"": 16, ""MOVED_TOWARD_SAFETY"": 55, ""MOVED_UP"": 46, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 9, ""STAYED_IN_DANGER"": 7, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 19, ""WAITED"": 152}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.35, ""CRATE_DESTROYED"": 1.9000000000000006, ""ESCAPED_DANGER"": 11.400000000000006, ""INVALID_ACTION"": -0.2, ""MOVED_AWAY_FROM_COIN"": -0.28, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -1.0499999999999998, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.9600000000000004, ""MOVED_TOWARD_SAFETY"": 16.500000000000018, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.8999999999999999, ""STAYED_IN_DANGER"": -1.75, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -1.9000000000000006, ""WAITED"": -3.0400000000000023}"
10,1,0,1,400,0.19898000000000002,18.28549999999999,1.0,23.460000000000015,-6.17450000000001,51.66949999999995,-57.84399999999996,400,0,"{""BOMB_DROPPED"": 31, ""BOMB_EXPLODED"": 31, ""BOMB_NEXT_TO_CRATE"": 11, ""COIN_COLLECTED"": 1, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 30, ""ESCAPED_DANGER"": 32, ""MOVED_DOWN"": 70, ""MOVED_INTO_DANGER"": 1, ""MOVED_LEFT"": 71, ""MOVED_RIGHT"": 59, ""MOVED_TOWARD_COIN"": 7, ""MOVED_TOWARD_SAFETY"": 47, ""MOVED_UP"": 66, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 7, ""STAYED_IN_DANGER"": 7, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 13, ""WAITED"": 103}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.5499999999999999, ""COIN_COLLECTED"": 1.0, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 3.0000000000000013, ""ESCAPED_DANGER"": 9.600000000000001, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -0.35, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.42, ""MOVED_TOWARD_SAFETY"": 14.100000000000012, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.7, ""STAYED_IN_DANGER"": -1.75, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -1.3, ""WAITED"": -2.0600000000000014}"
