seed,round,task,agent_name,score,coins,kills,self_kill,steps_survived,invalid_actions,round_total_coins,round_total_kills,round_total_suicides,opponent_scores,max_opponent_score,score_margin,win,tie,loss
29000,0,4,our_agent,3,3,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 7, ""rule_based_agent_2"": 3}",7,-4,0,0,1
29001,1,4,our_agent,1,1,0,0,178,1,9,2,1,"{""rule_based_agent_0"": 12, ""rule_based_agent_1"": 6, ""rule_based_agent_2"": 0}",12,-11,0,0,1
29002,2,4,our_agent,7,2,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 3}",3,4,1,0,0
29003,3,4,our_agent,4,4,0,0,400,0,9,2,0,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 5}",7,-3,0,0,1
29004,4,4,our_agent,2,2,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 4}",7,-5,0,0,1
29005,5,4,our_agent,7,2,1,0,400,1,8,1,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",3,4,1,0,0
29006,6,4,our_agent,4,4,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 6, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 3}",6,-2,0,0,1
29007,7,4,our_agent,3,3,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 2}",3,0,0,1,0
29008,8,4,our_agent,3,3,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 2}",4,-1,0,0,1
29009,9,4,our_agent,3,3,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",3,0,0,1,0
29010,10,4,our_agent,5,5,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",2,3,1,0,0
29011,11,4,our_agent,7,2,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",4,3,1,0,0
29012,12,4,our_agent,3,3,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",2,1,1,0,0
29013,13,4,our_agent,1,1,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 7}",7,-6,0,0,1
29014,14,4,our_agent,3,3,0,0,400,0,9,0,0,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 0}",4,-1,0,0,1
29015,15,4,our_agent,2,2,0,0,188,0,9,1,2,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",7,-5,0,0,1
29016,16,4,our_agent,2,2,0,0,400,1,9,1,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 6, ""rule_based_agent_2"": 3}",6,-4,0,0,1
29017,17,4,our_agent,8,3,1,0,400,1,9,1,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 1}",3,5,1,0,0
29018,18,4,our_agent,2,2,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",3,-1,0,0,1
29019,19,4,our_agent,2,2,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 0}",4,-2,0,0,1
29020,20,4,our_agent,8,3,1,0,81,0,9,2,1,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 1}",7,1,1,0,0
29021,21,4,our_agent,1,1,0,0,400,1,9,0,1,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 3}",5,-4,0,0,1
29022,22,4,our_agent,4,4,0,0,163,2,9,1,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 8, ""rule_based_agent_2"": 1}",8,-4,0,0,1
29023,23,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 3}",3,-2,0,0,1
29024,24,4,our_agent,2,2,0,0,400,2,9,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 1}",4,-2,0,0,1
29025,25,4,our_agent,3,3,0,0,400,0,8,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 3}",3,0,0,1,0
