step,coin_distance,coin_actions,baseline_greedy,candidate_greedy,baseline_coin_probability,candidate_coin_probability,strict_coin_preference_loss,strict_coin_preference_gain,allowed_actions,driver,seed,actual_driver_action
16,4,['DOWN'],['DOWN'],['DOWN'],1.0,1.0,False,False,"['UP', 'DOWN', 'WAIT', 'BOMB']",baseline,28000,DOWN
31,2,['UP'],['UP'],['UP'],1.0,1.0,False,False,"['UP', 'RIGHT', 'LEFT', 'WAIT', 'BOMB']",baseline,28000,UP
41,2,['UP'],['UP'],['UP'],1.0,1.0,False,False,"['UP', 'RIGHT', 'LEFT', 'WAIT', 'BOMB']",baseline,28000,UP
21,5,['RIGHT'],['BOMB'],['RIGHT'],0.0,1.0,False,True,"['RIGHT', 'WAIT', 'BOMB']",candidate,28000,RIGHT
41,16,['UP'],['UP'],['UP'],1.0,1.0,False,False,"['UP', 'DOWN', 'WAIT', 'BOMB']",candidate,28000,UP
116,12,['DOWN'],['DOWN'],['DOWN'],1.0,1.0,False,False,"['UP', 'DOWN', 'LEFT', 'WAIT', 'BOMB']",candidate,28000,DOWN
121,17,['UP'],['DOWN'],['DOWN'],0.0,0.0,False,False,"['UP', 'DOWN', 'WAIT', 'BOMB']",candidate,28000,DOWN
131,9,['LEFT'],['LEFT'],['LEFT'],1.0,1.0,False,False,"['RIGHT', 'LEFT', 'WAIT', 'BOMB']",candidate,28000,LEFT
141,5,['UP'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['UP', 'DOWN', 'WAIT']",candidate,28000,WAIT
151,6,['LEFT'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['RIGHT', 'LEFT', 'WAIT']",candidate,28000,WAIT
161,7,"['DOWN', 'LEFT']",['DOWN'],['DOWN'],1.0,1.0,False,False,"['UP', 'RIGHT', 'DOWN', 'LEFT', 'WAIT', 'BOMB']",candidate,28000,DOWN
166,20,['RIGHT'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['RIGHT', 'WAIT']",candidate,28000,WAIT
171,7,"['DOWN', 'LEFT']",['DOWN'],['DOWN'],1.0,1.0,False,False,"['UP', 'RIGHT', 'DOWN', 'LEFT', 'WAIT', 'BOMB']",candidate,28000,DOWN
356,16,['UP'],['BOMB'],['DOWN'],0.0,0.0,False,False,"['UP', 'DOWN', 'WAIT', 'BOMB']",candidate,28000,DOWN
121,11,['UP'],['BOMB'],['UP'],0.0,1.0,False,True,"['UP', 'WAIT', 'BOMB']",candidate,28001,UP
126,21,['UP'],['UP'],['DOWN'],1.0,0.0,True,False,"['UP', 'RIGHT', 'DOWN', 'WAIT', 'BOMB']",candidate,28001,DOWN
131,18,['UP'],['BOMB'],['UP'],0.0,1.0,False,True,"['UP', 'WAIT', 'BOMB']",candidate,28001,UP
136,21,['UP'],['BOMB'],['RIGHT'],0.0,0.0,False,False,"['UP', 'RIGHT', 'DOWN', 'WAIT', 'BOMB']",candidate,28001,RIGHT
146,6,['RIGHT'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['RIGHT', 'LEFT', 'WAIT']",candidate,28001,WAIT
51,3,['RIGHT'],['RIGHT'],['RIGHT'],1.0,1.0,False,False,"['RIGHT', 'LEFT', 'WAIT', 'BOMB']",baseline,28001,RIGHT
136,20,['UP'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['UP', 'WAIT']",baseline,28001,WAIT
