episode,coins,kills,game_score,steps,epsilon,training_reward,objective_reward,other_event_reward,potential_net,potential_positive,potential_negative,potential_calls,terminal_potential_calls,event_counts,event_rewards
1,2,0,2,400,0.2,-0.41000000000000236,2.0,1.7300000000000018,-4.140000000000002,50.40641666666664,-54.54641666666669,401,1,"{""BOMB_DROPPED"": 31, ""BOMB_EXPLODED"": 31, ""BOMB_NEXT_TO_CRATE"": 11, ""COIN_COLLECTED"": 2, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 28, ""ESCAPED_DANGER"": 31, ""MOVED_AWAY_FROM_COIN"": 5, ""MOVED_DOWN"": 71, ""MOVED_LEFT"": 61, ""MOVED_RIGHT"": 60, ""MOVED_TOWARD_COIN"": 28, ""MOVED_TOWARD_SAFETY"": 43, ""MOVED_UP"": 71, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 3, ""STAYED_IN_DANGER"": 8, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 19, ""WAITED"": 106}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.5499999999999999, ""COIN_COLLECTED"": 2.0, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 2.800000000000001, ""ESCAPED_DANGER"": 0.9300000000000006, ""MOVED_AWAY_FROM_COIN"": -0.35000000000000003, ""MOVED_DOWN"": 0.0, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.680000000000001, ""MOVED_TOWARD_SAFETY"": 1.290000000000001, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.30000000000000004, ""STAYED_IN_DANGER"": -2.0, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -1.9000000000000006, ""WAITED"": -2.1200000000000014}"
2,1,1,6,400,0.19988666666666668,-5.142750000000001,6.0,-3.0300000000000002,-8.112750000000013,61.25949999999999,-69.37225000000004,401,1,"{""BOMB_DROPPED"": 32, ""BOMB_EXPLODED"": 32, ""BOMB_NEXT_TO_CRATE"": 6, ""COIN_COLLECTED"": 1, ""COIN_FOUND"": 2, ""CRATE_DESTROYED"": 13, ""ESCAPED_DANGER"": 41, ""INVALID_ACTION"": 2, ""KILLED_OPPONENT"": 1, ""MOVED_AWAY_FROM_COIN"": 4, ""MOVED_DOWN"": 32, ""MOVED_INTO_DANGER"": 9, ""MOVED_LEFT"": 86, ""MOVED_RIGHT"": 76, ""MOVED_TOWARD_COIN"": 13, ""MOVED_TOWARD_SAFETY"": 48, ""MOVED_UP"": 42, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 13, ""STAYED_IN_DANGER"": 9, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 15, ""WAITED"": 130}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.3, ""COIN_COLLECTED"": 1.0, ""COIN_FOUND"": 0.1, ""CRATE_DESTROYED"": 1.3, ""ESCAPED_DANGER"": 1.2300000000000009, ""INVALID_ACTION"": -0.2, ""KILLED_OPPONENT"": 5.0, ""MOVED_AWAY_FROM_COIN"": -0.28, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -3.1500000000000004, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.7800000000000002, ""MOVED_TOWARD_SAFETY"": 1.440000000000001, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 1.3, ""STAYED_IN_DANGER"": -2.25, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -1.5000000000000002, ""WAITED"": -2.600000000000002}"
3,1,0,1,400,0.19977333333333336,-6.788750000000006,1.0,-0.6500000000000004,-7.138750000000011,34.525583333333316,-41.664333333333325,401,1,"{""BOMB_DROPPED"": 18, ""BOMB_EXPLODED"": 18, ""BOMB_NEXT_TO_CRATE"": 4, ""COIN_COLLECTED"": 1, ""CRATE_DESTROYED"": 10, ""ESCAPED_DANGER"": 21, ""MOVED_AWAY_FROM_COIN"": 11, ""MOVED_DOWN"": 59, ""MOVED_INTO_DANGER"": 4, ""MOVED_LEFT"": 55, ""MOVED_RIGHT"": 67, ""MOVED_TOWARD_COIN"": 32, ""MOVED_TOWARD_SAFETY"": 28, ""MOVED_UP"": 45, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 7, ""STAYED_IN_DANGER"": 1, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 9, ""WAITED"": 156}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.2, ""COIN_COLLECTED"": 1.0, ""CRATE_DESTROYED"": 0.9999999999999999, ""ESCAPED_DANGER"": 0.6300000000000003, ""MOVED_AWAY_FROM_COIN"": -0.7700000000000002, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -1.4, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.9200000000000013, ""MOVED_TOWARD_SAFETY"": 0.8400000000000005, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.7, ""STAYED_IN_DANGER"": -0.25, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.8999999999999999, ""WAITED"": -3.1200000000000023}"
4,0,0,0,400,0.19966,-9.635500000000047,0,-2.54,-7.095500000000016,43.19749999999988,-50.2930000000001,401,1,"{""BOMB_DROPPED"": 23, ""BOMB_EXPLODED"": 23, ""BOMB_NEXT_TO_CRATE"": 8, ""BOMB_WITH_NO_ESCAPE"": 1, ""CRATE_DESTROYED"": 16, ""ESCAPED_DANGER"": 27, ""INVALID_ACTION"": 3, ""MOVED_AWAY_FROM_COIN"": 6, ""MOVED_DOWN"": 72, ""MOVED_INTO_DANGER"": 7, ""MOVED_LEFT"": 50, ""MOVED_RIGHT"": 57, ""MOVED_TOWARD_COIN"": 7, ""MOVED_TOWARD_SAFETY"": 41, ""MOVED_UP"": 86, ""OPPONENT_ELIMINATED"": 3, ""SAFE_BOMB_THREATENS_OPPONENT"": 11, ""SAFE_BOMB_TRAPS_OPPONENT"": 2, ""STAYED_IN_DANGER"": 10, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 6, ""WAITED"": 109}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.39999999999999997, ""BOMB_WITH_NO_ESCAPE"": -0.55, ""CRATE_DESTROYED"": 1.6000000000000003, ""ESCAPED_DANGER"": 0.8100000000000005, ""INVALID_ACTION"": -0.30000000000000004, ""MOVED_AWAY_FROM_COIN"": -0.42000000000000004, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -2.45, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.42, ""MOVED_TOWARD_SAFETY"": 1.2300000000000009, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 1.0999999999999999, ""SAFE_BOMB_TRAPS_OPPONENT"": 0.4, ""STAYED_IN_DANGER"": -2.5, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.6, ""WAITED"": -2.1800000000000015}"
5,1,0,1,400,0.19954666666666668,-7.238999999999991,1.0,-1.479999999999999,-6.758999999999986,46.087749999999986,-52.846750000000064,401,1,"{""BOMB_DROPPED"": 22, ""BOMB_EXPLODED"": 22, ""BOMB_NEXT_TO_CRATE"": 8, ""BOMB_WITH_NO_ESCAPE"": 1, ""COIN_COLLECTED"": 1, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 22, ""ESCAPED_DANGER"": 27, ""INVALID_ACTION"": 1, ""MOVED_AWAY_FROM_COIN"": 8, ""MOVED_DOWN"": 91, ""MOVED_INTO_DANGER"": 7, ""MOVED_LEFT"": 43, ""MOVED_RIGHT"": 55, ""MOVED_TOWARD_COIN"": 19, ""MOVED_TOWARD_SAFETY"": 38, ""MOVED_UP"": 90, ""OPPONENT_ELIMINATED"": 1, ""SAFE_BOMB_THREATENS_OPPONENT"": 8, ""STAYED_IN_DANGER"": 8, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 9, ""WAITED"": 98}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.39999999999999997, ""BOMB_WITH_NO_ESCAPE"": -0.55, ""COIN_COLLECTED"": 1.0, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 2.2000000000000006, ""ESCAPED_DANGER"": 0.8100000000000005, ""INVALID_ACTION"": -0.1, ""MOVED_AWAY_FROM_COIN"": -0.56, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -2.45, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.1400000000000006, ""MOVED_TOWARD_SAFETY"": 1.1400000000000008, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 0.7999999999999999, ""STAYED_IN_DANGER"": -2.0, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.8999999999999999, ""WAITED"": -1.9600000000000013}"
6,0,1,5,400,0.19943333333333335,-3.3610000000000024,5.0,0.18000000000000238,-8.541000000000025,54.658583333333326,-63.199583333333344,401,1,"{""BOMB_DROPPED"": 29, ""BOMB_EXPLODED"": 29, ""BOMB_NEXT_TO_CRATE"": 10, ""COIN_FOUND"": 2, ""CRATE_DESTROYED"": 30, ""ESCAPED_DANGER"": 34, ""INVALID_ACTION"": 2, ""KILLED_OPPONENT"": 1, ""MOVED_AWAY_FROM_COIN"": 36, ""MOVED_DOWN"": 70, ""MOVED_INTO_DANGER"": 6, ""MOVED_LEFT"": 46, ""MOVED_RIGHT"": 58, ""MOVED_TOWARD_COIN"": 30, ""MOVED_TOWARD_SAFETY"": 46, ""MOVED_UP"": 70, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 13, ""STAYED_IN_DANGER"": 6, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 6, ""WAITED"": 125}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.49999999999999994, ""COIN_FOUND"": 0.1, ""CRATE_DESTROYED"": 3.0000000000000013, ""ESCAPED_DANGER"": 1.0200000000000007, ""INVALID_ACTION"": -0.2, ""KILLED_OPPONENT"": 5.0, ""MOVED_AWAY_FROM_COIN"": -2.52, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -2.1, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.8000000000000012, ""MOVED_TOWARD_SAFETY"": 1.380000000000001, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 1.3, ""STAYED_IN_DANGER"": -1.5, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.6, ""WAITED"": -2.5000000000000018}"
7,4,0,4,124,0.19932,-3.4560000000000035,4.0,-4.35,-3.1060000000000025,14.138583333333324,-17.24458333333333,124,1,"{""BOMB_DROPPED"": 8, ""BOMB_EXPLODED"": 7, ""BOMB_NEXT_TO_CRATE"": 5, ""BOMB_WITH_NO_ESCAPE"": 1, ""COIN_COLLECTED"": 4, ""COIN_FOUND"": 4, ""CRATE_DESTROYED"": 13, ""ESCAPED_DANGER"": 7, ""GOT_KILLED"": 1, ""MOVED_AWAY_FROM_COIN"": 7, ""MOVED_DOWN"": 19, ""MOVED_INTO_DANGER"": 1, ""MOVED_LEFT"": 15, ""MOVED_RIGHT"": 14, ""MOVED_TOWARD_COIN"": 27, ""MOVED_TOWARD_SAFETY"": 12, ""MOVED_UP"": 33, ""OPPONENT_ELIMINATED"": 1, ""STAYED_IN_DANGER"": 4, ""USELESS_BOMB"": 2, ""WAITED"": 35}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.25, ""BOMB_WITH_NO_ESCAPE"": -0.55, ""COIN_COLLECTED"": 4.0, ""COIN_FOUND"": 0.2, ""CRATE_DESTROYED"": 1.3, ""ESCAPED_DANGER"": 0.21, ""GOT_KILLED"": -5.0, ""MOVED_AWAY_FROM_COIN"": -0.49000000000000005, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -0.35, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.620000000000001, ""MOVED_TOWARD_SAFETY"": 0.3600000000000001, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""STAYED_IN_DANGER"": -1.0, ""USELESS_BOMB"": -0.2, ""WAITED"": -0.7000000000000003}"
8,1,1,6,400,0.19920666666666667,-4.645500000000009,6.0,-1.4999999999999991,-9.14550000000001,64.53408333333338,-73.67958333333333,401,1,"{""BOMB_DROPPED"": 34, ""BOMB_EXPLODED"": 34, ""BOMB_NEXT_TO_CRATE"": 10, ""COIN_COLLECTED"": 1, ""COIN_FOUND"": 3, ""CRATE_DESTROYED"": 17, ""ESCAPED_DANGER"": 43, ""INVALID_ACTION"": 3, ""KILLED_OPPONENT"": 1, ""MOVED_AWAY_FROM_COIN"": 1, ""MOVED_DOWN"": 56, ""MOVED_INTO_DANGER"": 10, ""MOVED_LEFT"": 55, ""MOVED_RIGHT"": 44, ""MOVED_TOWARD_COIN"": 10, ""MOVED_TOWARD_SAFETY"": 53, ""MOVED_UP"": 70, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 22, ""STAYED_IN_DANGER"": 12, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 4, ""WAITED"": 138}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.49999999999999994, ""COIN_COLLECTED"": 1.0, ""COIN_FOUND"": 0.15000000000000002, ""CRATE_DESTROYED"": 1.7000000000000004, ""ESCAPED_DANGER"": 1.290000000000001, ""INVALID_ACTION"": -0.30000000000000004, ""KILLED_OPPONENT"": 5.0, ""MOVED_AWAY_FROM_COIN"": -0.07, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -3.5000000000000004, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.6000000000000001, ""MOVED_TOWARD_SAFETY"": 1.5900000000000012, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 2.2000000000000006, ""STAYED_IN_DANGER"": -3.0, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.4, ""WAITED"": -2.760000000000002}"
9,2,0,2,400,0.19909333333333334,-5.878000000000002,2.0,-1.0099999999999993,-6.868000000000011,51.34808333333331,-58.21608333333337,401,1,"{""BOMB_DROPPED"": 27, ""BOMB_EXPLODED"": 27, ""BOMB_NEXT_TO_CRATE"": 13, ""COIN_COLLECTED"": 2, ""COIN_FOUND"": 2, ""CRATE_DESTROYED"": 22, ""ESCAPED_DANGER"": 33, ""INVALID_ACTION"": 2, ""MOVED_AWAY_FROM_COIN"": 6, ""MOVED_DOWN"": 57, ""MOVED_INTO_DANGER"": 9, ""MOVED_LEFT"": 69, ""MOVED_RIGHT"": 79, ""MOVED_TOWARD_COIN"": 16, ""MOVED_TOWARD_SAFETY"": 45, ""MOVED_UP"": 49, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 14, ""STAYED_IN_DANGER"": 11, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 3, ""WAITED"": 117}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.65, ""COIN_COLLECTED"": 2.0, ""COIN_FOUND"": 0.1, ""CRATE_DESTROYED"": 2.2000000000000006, ""ESCAPED_DANGER"": 0.9900000000000007, ""INVALID_ACTION"": -0.2, ""MOVED_AWAY_FROM_COIN"": -0.42000000000000004, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -3.1500000000000004, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 0.9600000000000004, ""MOVED_TOWARD_SAFETY"": 1.350000000000001, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 1.4000000000000001, ""STAYED_IN_DANGER"": -2.75, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.30000000000000004, ""WAITED"": -2.3400000000000016}"
10,2,0,2,400,0.19898000000000002,-3.457999999999999,2.0,2.0400000000000027,-7.498000000000009,61.34966666666675,-68.84766666666667,401,1,"{""BOMB_DROPPED"": 32, ""BOMB_EXPLODED"": 32, ""BOMB_NEXT_TO_CRATE"": 9, ""COIN_COLLECTED"": 2, ""COIN_FOUND"": 1, ""CRATE_DESTROYED"": 24, ""ESCAPED_DANGER"": 38, ""MOVED_AWAY_FROM_COIN"": 8, ""MOVED_DOWN"": 83, ""MOVED_INTO_DANGER"": 7, ""MOVED_LEFT"": 38, ""MOVED_RIGHT"": 37, ""MOVED_TOWARD_COIN"": 29, ""MOVED_TOWARD_SAFETY"": 55, ""MOVED_UP"": 91, ""OPPONENT_ELIMINATED"": 2, ""SAFE_BOMB_THREATENS_OPPONENT"": 17, ""STAYED_IN_DANGER"": 6, ""SURVIVED_ROUND"": 1, ""USELESS_BOMB"": 7, ""WAITED"": 119}","{""BOMB_DROPPED"": 0.0, ""BOMB_EXPLODED"": 0.0, ""BOMB_NEXT_TO_CRATE"": 0.44999999999999996, ""COIN_COLLECTED"": 2.0, ""COIN_FOUND"": 0.05, ""CRATE_DESTROYED"": 2.400000000000001, ""ESCAPED_DANGER"": 1.1400000000000008, ""MOVED_AWAY_FROM_COIN"": -0.56, ""MOVED_DOWN"": 0.0, ""MOVED_INTO_DANGER"": -2.45, ""MOVED_LEFT"": 0.0, ""MOVED_RIGHT"": 0.0, ""MOVED_TOWARD_COIN"": 1.740000000000001, ""MOVED_TOWARD_SAFETY"": 1.6500000000000012, ""MOVED_UP"": 0.0, ""OPPONENT_ELIMINATED"": 0.0, ""SAFE_BOMB_THREATENS_OPPONENT"": 1.7000000000000004, ""STAYED_IN_DANGER"": -1.5, ""SURVIVED_ROUND"": 0.5, ""USELESS_BOMB"": -0.7, ""WAITED"": -2.3800000000000017}"
